game,team,difficulty,formation,lineup
Pendikspor vs. Sivasspor - Saturday October 7 - 2023,Sivasspor,hard,4-1-4-1,VURAL;KAPACAK;APPINDANGOYE;OSMANPASA;CIFTCI;KONAK;BASSAN;CHARISIS;SAIZ;BARROW;MANAJ
Galatasaray vs. Adana Demirspor - Saturday April 1 - 2023,Galatasaray,easy,4-2-3-1,MUSLERA;BOEY;NELSSON;BARDAKCI;ADEKUGBE;OLIVEIRA;TORREIRA;RASHICA;MERTENS;AKTURKOGLU;ICARDI
Galatasaray vs. Adana Demirspor - Saturday April 1 - 2023,Adana Demirspor,hard,4-4-2,OZBIR;SVENSSON;MOREL;GULER;RODRIGUES;AKINTOLA;STAMBOULI;NDIAYE;ONYEKURU;AKBABA;NDIAYE
Kayserispor vs. Konyaspor - Sunday November 13 - 2022,Kayserispor,hard,4-1-4-1,BAYAZIT;BULUT;HOSSEINI;KOLOVETSIOS;CAROLE;CAMPANHARO;BASSAN;KEMEN;MENSAH;THIAM;GAVRANOVIC
Kayserispor vs. Konyaspor - Sunday November 13 - 2022,Konyaspor,hard,4-1-4-1,SEHIC;OGUZ;YAZGILI;CALVO;SITYA;HADZIAHMETOVIC;MICHALAK;DIKMEN;PAZ;BYTYQI;DIOUF
Istanbul Basaksehir vs. Hatayspor - Sunday April 24 - 2022,Basaksehir,easy,4-2-3-1,BABACAN;CAICARA;DUARTE;EPUREANU;LIMA;TEKDEMIR;CIGERCI;TURUC;ALEKSIC;TREZEGUET;GULBRANDSEN
Istanbul Basaksehir vs. Hatayspor - Sunday April 24 - 2022,Hatayspor,hard,4-2-3-1,MUNIR;BAS;KURUCUK;SACKEY;ADEKUGBE;ERGUN;BOUDJEMAA;LOBZHANIDZE;BENZIA;KAABI;DIOUF
Gaziantep FK vs. Kayserispor - Friday May 6 - 2022,Gaziantep FK,hard,3-4-3,GUVENC;DJILOBODJI;ERSOY;TOSCA;CEYLAN;NIYAZ;ERDOGAN;SAGAL;CIHAN;MAXIM;FIGUEIREDO
Gaziantep FK vs. Kayserispor - Friday May 6 - 2022,Kayserispor,hard,4-2-3-1,JR.;BULUT;KOLOVETSIOS;ATTAMAH;CAROLE;AKDAG;CAMPANHARO;BASSAN;PARMAK;SAZDAGI;PARLAK
Fenerbahce vs. Rizespor - Sunday October 1 - 2023,Fenerbahce,easy,4-2-3-1,LIVAKOVIC;OSAYI-SAMUEL;BECAO;DJIKU;KADIOGLU;FRED;YUKSEK;KAHVECI;SZYMANSKI;TADIC;DZEKO
Fenerbahce vs. Rizespor - Sunday October 1 - 2023,Rizespor,hard,4-2-3-1,AKKAN;SAHIN;MOCSI;TOPCU;NIELSEN;PALA;SHELVEY;SAUER;VARESANOVIC;KESER;MINCHEV
Altay vs. Istanbul Basaksehir - Saturday April 16 - 2022,Altay,hard,5-3-2,LIS;UNLU;THIAM;BJORKANDER;OZTURK;NADERI;YILDIRIM;GULSELAM;POKO;RODRIGUEZ;BAMBA
Altay vs. Istanbul Basaksehir - Saturday April 16 - 2022,Basaksehir,easy,4-2-3-1,BABACAN;CAICARA;DUARTE;EPUREANU;LIMA;UCAN;CIGERCI;TURUC;ALEKSIC;TREZEGUET;OKAKA
Ankaragucu vs. Konyaspor - Sunday September 24 - 2023,Ankaragucu,hard,4-2-3-1,GUNGORDU;KITSIOU;RADAKOVIC;MUJAKIC;HANOUSEK;DOKANOVIC;TURKMEN;MORUTAN;BEKIROGLU;RODRIGUES;BAJIC
Ankaragucu vs. Konyaspor - Sunday September 24 - 2023,Konyaspor,hard,4-4-2,BERNARDONI;YAZGILI;DEMIRBAG;CALVO;SITYA;OGUZ;NZONZI;DIKMEN;MORENO;ULGUN;OLIVEIRA
Fatih Karagumruk vs. Istanbul Basaksehir - Sunday March 19 - 2023,Fatih Karagumruk,hard,4-3-3,SEN;BIRASCHI;BANIYA;DRESEVIC;MERCAN;SHUKUROV;RICCI;BERTOLACCI;COLLEY;DIAGNE;BORINI
Fatih Karagumruk vs. Istanbul Basaksehir - Sunday March 19 - 2023,Basaksehir,easy,4-1-4-1,BABACAN;SAHINER;DUARTE;TOUBA;LIMA;BIGLIA;KENY;TEKDEMIR;ALEKSIC;GURLER;FIGUEIREDO
Istanbulspor vs. Fenerbahce - Sunday October 30 - 2022,Istanbulspor,hard,4-1-4-1,JENSEN;BERBER;YESIL;MEHREMIC;YASAR;ERDOGAN;TOPALLI;KABASAKAL;SARIKAYA;ETHEMI;YILMAZ
Istanbulspor vs. Fenerbahce - Sunday October 30 - 2022,Fenerbahce,easy,4-4-2,BAYINDIR;KADIOGLU;AZIZ;SZALAI;ALIOSKI;KAHVECI;ARAO;ZAJC;MOR;BATSHUAYI;PEDRO
Konyaspor vs. Samsunspor - Sunday May 12 - 2024,Konyaspor,hard,4-2-3-1,SLOWIK;YAZGILI;DEMIRBAG;HADEBE;SITYA;NZONZI;DIKMEN;NDAO;ULGUN;ETHEMI;CIKALLESHI
Konyaspor vs. Samsunspor - Sunday May 12 - 2024,Samsunspor,hard,4-2-3-1,KOCUK;SCHINDLER;CIFT;DRONGELEN;BOLA;TAIT;ANTALYALI;RAMAN;HOLSE;KILINC;MOUANDILMADJI
Pendikspor vs. Istanbulspor - Friday March 15 - 2024,Pendikspor,hard,4-2-3-1,CANPOLAT;ASAN;OZTURK;AKCA;SEQUEIRA;NDIAYE;MIDTSJO;AKBUNAR;KAYA;THIAM;NAYIR
Pendikspor vs. Istanbulspor - Friday March 15 - 2024,Istanbulspor,hard,3-4-3,ARDA;ERDOGAN;YESIL;DELI;DUHANEY;VOROBJOVAS;LOSHAJ;YASAR;SAMBISSA;JACKSON;MENDY
Pendikspor vs. Hatayspor - Saturday August 12 - 2023,Pendikspor,hard,4-1-3-2,OGUR;RASSOUL;WELINTON;TZAVELLAS;SEQUEIRA;VUKOVIC;KAYA;AOSMAN;AKBUNAR;BITIN;THURAM
Pendikspor vs. Hatayspor - Saturday August 12 - 2023,Hatayspor,hard,4-2-3-1,KARDESLER;COREKCI;BEKAROGLU;KILAMA;AKSOY;SAGLAM;ABURJANIA;STRANDBERG;DELE-BASHIRU;FERNANDES;YILDIRIM
Kayserispor vs. Alanyaspor - Monday March 7 - 2022,Kayserispor,hard,4-1-4-1,GONEN;BULUT;DEMIROK;CETIN;CAROLE;AKDAG;CARDOSO;BERTOLACCI;PARMAK;MANE;GAVRANOVIC
Kayserispor vs. Alanyaspor - Monday March 7 - 2022,Alanyaspor,hard,3-4-3,KIRINTILI;AWAZIEM;MILUNOVIC;MEVLJA;BINGOL;FER;GUNES;BORJA;KARACA;BEKIROGLU;AYDIN
Antalyaspor vs. Ankaragucu - Tuesday April 2 - 2024,Antalyaspor,hard,4-1-4-1,LEITE;YESILYURT;SARI;OZTURK;VURAL;KALUZINSKI;STREEK;SAFOURI;SARIC;LARSSON;BUKSA
Antalyaspor vs. Ankaragucu - Tuesday April 2 - 2024,Ankaragucu,hard,4-2-3-1,GUNGORDU;KITSIOU;RADAKOVIC;MUJAKIC;ULUDAG;GUNEREN;CIGERCI;MORUTAN;MOREIRA;BASSOGOG;SOWE
Istanbulspor vs. Sivasspor - Monday March 13 - 2023,Istanbulspor,hard,4-4-1-1,JENSEN;DUHANEY;ERDOGAN;YESIL;AKSU;LOKILO;BA;SARIKAYA;ETHEMI;RROCA;EZE
Istanbulspor vs. Sivasspor - Monday March 13 - 2023,Sivasspor,hard,4-3-3,VURAL;OKUMUS;GOUTAS;CAMARA;ERDAL;ULVESTAD;KEITA;CHARISIS;N'JIE;JAMES;GRADEL
Fatih Karagumruk vs. Fenerbahce - Sunday April 14 - 2024,Fatih Karagumruk,hard,4-2-3-1,SIRIGU;BIRASCHI;GUNTER;CECCHERINI;MERCAN;ROHDEN;BERTOLACCI;KELES;EYSSERIC;MENDES;YALCIN
Fatih Karagumruk vs. Fenerbahce - Sunday April 14 - 2024,Fenerbahce,easy,4-2-3-1,LIVAKOVIC;OSAYI-SAMUEL;AZIZ;SOYUNCU;KADIOGLU;YUKSEK;FRED;KAHVECI;KRUNIC;TADIC;DZEKO
Umraniyespor vs. Giresunspor - Saturday June 3 - 2023,Umraniyespor,hard,5-3-2,OZER;POPOV;ESER;GLUMAC;EPUREANU;LENJANI;GOKSU;SACKEY;GURBULAK;KAYODE;NAYIR
Umraniyespor vs. Giresunspor - Saturday June 3 - 2023,Giresunspor,hard,4-4-1-1,KAPLAN;BILAZER;ARIAS;SEVEN;GENC;DAVAS;CAMPUZANO;SAGLAM;SAINZ;SAVICEVIC;BAJIC
Antalyaspor vs. Besiktas - Saturday May 6 - 2023,Antalyaspor,hard,4-2-3-1,LEITE;BALCI;SARI;TOPRAK;SERTEL;RAKIP;FERNANDO;SINIK;FREDY;LARSSON;WRIGHT
Antalyaspor vs. Besiktas - Saturday May 6 - 2023,Besiktas,easy,4-2-3-1,GUNOK;ROSIER;WELINTON;SAISS;MASUAKU;HADZIAHMETOVIC;FERNANDES;REDMOND;MAXIM;TOSUN;ABOUBAKAR
Fenerbahce vs. Fatih Karagumruk - Sunday October 9 - 2022,Fenerbahce,easy,4-1-3-2,BAYINDIR;OSAYI-SAMUEL;HENRIQUE;SZALAI;LINCOLN;YUKSEK;MOR;CRESPO;KAHVECI;PEDRO;VALENCIA
Fenerbahce vs. Fatih Karagumruk - Sunday October 9 - 2022,Fatih Karagumruk,hard,4-3-3,VIVIANO;DURSUN;BIRASCHI;DRESEVIC;ERKIN;DURMAZ;OZDOYEV;SHUKUROV;COLLEY;BORINI;KOUASSI
Sivasspor vs. Fenerbahce - Saturday January 22 - 2022,Sivasspor,hard,4-1-4-1,VURAL;OGUZ;GOUTAS;OSMANPASA;CIFTCI;YIGITER;YESILYURT;ALTINAY;COFIE;HENRIQUE;YATABARE
Sivasspor vs. Fenerbahce - Saturday January 22 - 2022,Fenerbahce,easy,4-4-2,OZER;SANGARE;AZIZ;MIN-JAE;NOVAK;OSAYI-SAMUEL;ZAJC;CRESPO;VALENCIA;KAHVECI;DURSUN
Istanbulspor vs. Istanbul Basaksehir - Sunday September 17 - 2023,Istanbulspor,hard,4-4-2,JENSEN;DUHANEY;YESIL;DELI;TEMEL;NDAO;LOSHAJ;RROCA;ETHEMI;YILMAZ;JACKSON
Istanbulspor vs. Istanbul Basaksehir - Sunday September 17 - 2023,Basaksehir,easy,4-4-2,BABACAN;KARZEV;DUARTE;SERTEL;LIMA;TURUC;OZCAN;ALEKSIC;GURLER;PIATEK;PELKAS
Besiktas vs. Sivasspor - Sunday September 3 - 2023,Besiktas,easy,4-2-3-1,GUNOK;ROSIER;UYSAL;COLLEY;BULUT;HADZIAHMETOVIC;FERNANDES;RASHICA;OXLADE-CHAMBERLAIN;MULEKA;ABOUBAKAR
Besiktas vs. Sivasspor - Sunday September 3 - 2023,Sivasspor,hard,4-3-3,VURAL;PALULI;APPINDANGOYE;OSMANPASA;CIFTCI;CHARISIS;KONAK;SAIZ;MANAJ;N'JIE;RODRIGUES
