game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Gaziantepspor vs. Besiktas - Sunday February 4 - 2007,Gaziantepspor,hard,4-4-2,HASAGIC;BAYAR;AFANOU;IRTEGUN;AKINCI;YILDIRIM;KIRITA;COGUM;OZTONGA;CIHAN;DIAWARA,1;26;14;4;77;36;3;6;41;50;19,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;1;1;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;1;0,61589
Kayserispor vs. Galatasaray - Sunday February 4 - 2007,Kayserispor,hard,4-4-2,IVANKOV;TOLEDO;MENDEZ;TOSCALI;UCAR;OKYAY;GUNES;BASDAG;TOPUZ;IGLESIAS;UNAL,27;12;32;25;33;22;4;8;66;7;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;1;1;0;0;0;1,61590
Sivasspor vs. Rizespor - Sunday February 4 - 2007,Rizespor,hard,4-4-2,ZDRAVKOV;VICTORIA;AKYUZ;EL TABEI;DOGANTEZ;UGUR;SAID;YUCETAS;BAKI;ANDERSON;BIRYOL,1;17;14;15;2;7;44;6;22;99;20,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;0,0;0;0;0;0;1;0;1;0;0;1,61592
Sivasspor vs. Rizespor - Sunday February 4 - 2007,Sivasspor,hard,4-4-2,PETKOVIC;YERLIKAYA;CETIN;SOZGELMEZ;CAN;TOPRAKTEPE;ELMACI;FRANSERGIO;KUS;YILDIZ;BALILI,1;58;76;55;40;18;42;30;54;9;17,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,1;0;0;1;0;1;0;1;0;0;1,0;0;0;0;0;0;1;0;0;1;1,61592
Ankaragucu vs. Kayserispor - Saturday February 10 - 2007,Ankaragucu,hard,4-4-2,KIRINTILI;OCAK;BAYRAK;ANDRE SILVA;CELIK;DURUER;VIDUSLU;YESILKAYA;DERELI;TITA;BEBBE,1;55;3;88;42;18;28;25;61;16;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;1;0,0;1;0;0;1;1;0;0;0;0;0,61594
Ankaragucu vs. Kayserispor - Saturday February 10 - 2007,Kayserispor,hard,4-4-2,IVANKOV;TOLEDO;CORA;MENDEZ;UCAR;OKYAY;BASDAG;EDER LOUCO;TOPUZ;UNAL;OZCAN,27;12;18;32;33;22;8;80;66;9;99,0;0;0;0;0;0;0;0;0;1;2,0;0;0;0;0;2;0;0;0;0;0,0;0;1;0;1;1;0;0;0;0;0,0;0;0;0;0;0;1;1;0;0;1,61594
Besiktas vs. Denizlispor - Saturday February 10 - 2007,Denizlispor,hard,4-5-1,KUCUK;CAGIRAN;GURACAR;KRATOCHVIL;ERTUGRUL;JULIO CESAR;ABRAHAM;GULPINAR;EGE;GORGUN;KROUPA,1;5;22;7;20;6;4;60;25;64;37,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;1;0;0;0;0;0;0,0;0;1;0;0;0;0;0;1;1;0,61596
Rizespor vs. Fenerbahce - Saturday February 10 - 2007,Rizespor,hard,4-4-2,ZDRAVKOV;VICTORIA;CAKMAK;EL TABEI;AKYUZ;ELMAS;SAID;YUCETAS;BAKI;ANDERSON;BIRYOL,1;17;5;15;14;53;44;6;22;99;20,0;0;0;0;0;1;0;0;0;0;1,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;1;0;0;1;0;0;0,0;0;0;0;0;1;1;0;0;0;1,61600
Antalyaspor vs. Konyaspor - Sunday February 11 - 2007,Antalyaspor,hard,4-4-2,CORDOBA;YAMAN;BIENIUK;DZIEWICKI;KAVUK;CAN;SUAZO;KAHRAMAN;BILGIN;BIRDAL;ZITOUNI,1;74;7;5;67;13;12;10;17;9;81,0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;1;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;1;1,61595
Antalyaspor vs. Konyaspor - Sunday February 11 - 2007,Konyaspor,hard,3-5-2,ONGUN;EL SAKA;BATISTA;GUNDOSTU;KAUE;NECA;ER;OZGUR;ERGIN;TURKMEN;SEN,1;5;7;4;11;99;13;19;8;33;18,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;2,0;0;1;0;0;0;0;1;1;0;0,61595
