game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Besiktas vs. Kayserispor - Sunday October 16 - 2005,Besiktas,easy,3-4-1-2,CORDOBA;DOGAN;ATAN;TORAMAN;METIN;HAVUTCU;AVCI;TANDOGAN;KLEBERSON;YOULA;AILTON,35;4;6;58;11;3;41;22;15;25;9,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;1;0;0;0;0;1;0;0;0,0;0;0;0;1;0;0;1;0;1;0,37391
Besiktas vs. Kayserispor - Sunday October 16 - 2005,Kayserispor,hard,4-4-2,IVANKOV;TEBER;SADYQOV;JOHNSON;YOLDAS;CEYLAN;BOLUKBASI;ARSLAN;TOPUZ;UNAL;ALEKSANDROV,27;41;14;15;4;81;3;38;66;9;10,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,37391
Denizlispor vs. Manisaspor - Sunday October 16 - 2005,Denizlispor,hard,4-4-2,HAMIDOU;KECELI;KRATOCHVIL;GULPINAR;OZSARAC;ABRAHAM;VAROL;SIMSEK;MULTAHARJU;KARTAL;RIZA,16;11;7;6;3;4;13;5;22;9;10,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;1;0;0;0;0;0,0;0;0;1;0;0;0;0;0;2;0,0;0;0;0;0;0;1;0;0;0;1,37392
Denizlispor vs. Manisaspor - Sunday October 16 - 2005,Manisaspor,hard,4-4-2,ATAMAN;BALTA;JOHANA;OZLEM;AZER;ERKIN;VURUR;INCEMAN;BOOR;DEMIRAY;MEDUNA,61;16;19;5;81;88;4;10;32;11;26,0;0;0;0;0;0;0;1;0;0;0,0;0;0;1;0;0;0;0;0;0;0,0;0;0;1;0;1;0;1;0;1;0,0;0;0;0;1;0;0;0;1;1;0,37392
Genclerbirligi vs. Sivasspor - Sunday October 16 - 2005,Genclerbirligi,hard,4-5-1,CATKIC;JARDLER;OZBEY;RISP;GUVEN;BORAL;ABDELAZIZ;SERAS;NAS;GULDUREN;PROMISE,1;16;6;3;44;20;12;61;9;2;14,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;1;0;0;1;0,0;0;0;0;0;1;0;1;1;0;0,37396
Genclerbirligi vs. Sivasspor - Sunday October 16 - 2005,Sivasspor,hard,4-4-2,PETKOVIC;YERLIKAYA;HOCAOGLU;ELMACI;DUMAN;KARACA;BAYRAKTAR;FRANSERGIO;KUS;AYDEMIR;ANDERSON,1;58;4;42;51;20;6;30;36;22;7,0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;1;0;0;0;0,0;0;0;0;0;0;1;0;1;1;0,37396
Rizespor vs. Malatyaspor - Sunday October 16 - 2005,Malatyaspor,hard,4-5-1,KORK;KAHYA;AK;HOMOLA;ASLANTAS;KISA;TOTH;SOYLER;KORKMAZ;BENSOL;OZKAN,35;8;54;33;61;19;26;68;44;99;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;1;0;0;0;1;1;0;0;0;0,37397
Rizespor vs. Malatyaspor - Sunday October 16 - 2005,Rizespor,hard,3-4-1-2,ZDRAVKOV;EL TABEI;CAKMAK;KURKCU;OZDEMIR;TATAN;ALPUGAN;BAKI;DOUGLAS;OZTURK;AKYUZ,1;15;5;53;11;3;74;7;8;9;10,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;1;0;1,37397
Samsunspor vs. Trabzonspor - Sunday October 16 - 2005,Samsunspor,hard,4-4-2,INAN;AYARI;PETKOV;YELEK;GUNGOR;AKDENIZ;GHODHBANE;MARCIEL;SAGIR;MARQUES;AYKUT,16;5;30;28;13;11;6;32;55;19;10,0;0;0;0;0;0;1;0;0;1;0,0;1;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;1;1;0;0,0;0;0;0;1;0;0;1;0;0;1,37398
Samsunspor vs. Trabzonspor - Sunday October 16 - 2005,Trabzonspor,easy,4-4-2,JEFFERSON;DUYMUS;YAVUZ;CIMSIR;EREN;LEE;KOCAK;EGE;YATTARA;YILMAZ;JUN,1;49;38;5;34;19;66;25;11;10;21,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;1;0;0;0;0;0;0,0;1;0;2;0;0;1;0;0;0;0,0;0;0;0;0;0;1;1;0;0;1,37398
