game,team,difficulty,formation,lineup
Istanbulspor vs. Trabzonspor - Friday August 5 - 2022,Istanbulspor,hard,5-4-1,JENSEN;ERDOGAN;YESIL;AKSU;YASAR;BERBER;YAZGAN;KABASAKAL;TOPALLI;ABAZAJ;YILMAZ
Besiktas vs. Sivasspor - Monday August 29 - 2022,Sivasspor,hard,4-1-4-1,VURAL;GOUTAS;OSMANPASA;CIFTCI;YESILYURT;ULVESTAD;KEITA;CHARISIS;GRADEL;JAMES;YATABARE
Konyaspor vs. Fenerbahce - Monday August 29 - 2022,Fenerbahce,easy,3-4-3,BAYINDIR;LUAN PERES;LEMOS;SZALAI;KADIOGLU;ARAO;ZAJC;LINCOLN;ROSSI;MOR;VALENCIA
Konyaspor vs. Fenerbahce - Monday August 29 - 2022,Konyaspor,hard,4-2-3-1,SEHIC;CALVO;DEMIRBAG;GUILHERME;OGUZ;HADZIAHMETOVIC;DIKMEN;RAHMANOVIC;BYTYQI;MURIC;DEMIR
Umraniyespor vs. Trabzonspor - Friday September 2 - 2022,Trabzonspor,easy,4-1-4-1,TEPE;BARTRA;DENSWIL;GBAMIN;ELMALI;TOKOZ;BAKASETAS;BARDHI;OMUR;TREZEGUET;DJANINY
Umraniyespor vs. Trabzonspor - Friday September 2 - 2022,Umraniyespor,hard,4-1-4-1,KIRINTILI;GLUMAC;ALLYSON;LENJANI;YILMAZ;SACKEY;GURBULAK;GOKSU;GHEORGHE;AYIK;NAYIR
Basaksehir vs. Alanyaspor - Saturday September 3 - 2022,Alanyaspor,hard,4-2-3-1,RUNARSSON;BAYIR;AKSOY;BALKOVEC;PEREIRA;FER;GUNES;BEKIROGLU;EDUARDO;AYDIN;FERHAT
Basaksehir vs. Alanyaspor - Saturday September 3 - 2022,Basaksehir,hard,4-1-4-1,BABACAN;NDAYISHIMIYE;DUARTE;LIMA;JUNIOR CAICARA;TEKDEMIR;BIGLIA;OZCAN;CHOUIAR;GURLER;OKAKA
Fenerbahce vs. Kayserispor - Saturday September 3 - 2022,Fenerbahce,easy,3-4-3,BAYINDIR;SZALAI;GUSTAVO HENRIQUE;LUAN PERES;KADIOGLU;ALIOSKI;ARAO;CRESPO;KAHVECI;JOAO PEDRO;KING
Fenerbahce vs. Kayserispor - Saturday September 3 - 2022,Kayserispor,hard,4-1-4-1,BAYAZIT;KOLOVETSIOS;HOSSEINI;CAROLE;BULUT;CAMPANHARO;MENSAH;CARDOSO;CIVELEK;THIAM;GAVRANOVIC
Giresunspor vs. Konyaspor - Saturday September 3 - 2022,Giresunspor,hard,4-2-3-1,PIRI;ARIAS;PEREZ;ULUDAG;BILAZER;MEJIA;AKPINAR;DAVAS;SERGINHO;SAINZ;BAJIC
Giresunspor vs. Konyaspor - Saturday September 3 - 2022,Konyaspor,hard,4-2-3-1,SEHIC;YAZGILI;CALVO;GUILHERME;OGUZ;HADZIAHMETOVIC;DIKMEN;CEKICI;BYTYQI;MURIC;DEMIR
Sivasspor vs. Fatih Karagumruk - Saturday September 3 - 2022,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;DRESEVIC;BANIYA;DURSUN;ERKIN;OZDOEV;SHUKUROV;DURMAZ;COLLEY;DIAGNE;BORINI
Sivasspor vs. Fatih Karagumruk - Saturday September 3 - 2022,Sivasspor,hard,4-1-4-1,VURAL;APPINDANGOYE;GOUTAS;CIFTCI;PALULI;KEITA;ARSLAN;CHARISIS;GRADEL;N'JIE;JAMES
Ankaragucu vs. Besiktas - Sunday September 4 - 2022,Ankaragucu,hard,4-2-3-1,GUNGORDU;MUJAKIC;CANKAYA;MARLON;CEYLAN;CIGERCI;PEDRINHO;ZAHID;BERIDZE;ARIYIBI;MACHEDA
Ankaragucu vs. Besiktas - Sunday September 4 - 2022,Besiktas,easy,4-2-3-1,BILGIN;SAISS;MASUAKU;ROSIER;UYSAL;FERNANDES;UCAN;ALLI;N'KOUDOU;WEGHORST;MULEKA
Antalyaspor vs. Kasimpasa - Sunday September 4 - 2022,Antalyaspor,hard,4-2-3-1,BOFFIN;SARI;KUDRYASHOV;VURAL;BALCI;FERNANDO;FREDY;AYDOGDU;LARSSON;LUIZ ADRIANO;WRIGHT
Antalyaspor vs. Kasimpasa - Sunday September 4 - 2022,Kasimpasa,hard,4-1-4-1,TASKIRAN;CIFTPINAR;GRAOVAC;GEMICIBASI;HADERGJONAJ;EYSSERIC;HAJRADINOVIC;CELINA;BEN OUANES;FALL;BAHOKEN
Hatayspor vs. Adana Demirspor - Sunday September 4 - 2022,Adana Demirspor,hard,4-2-3-1,OZBIR;SANUC;AKAYDIN;RODRIGUES;SVENSSON;STAMBOULI;NDIAYE;BELHANDA;ONYEKURU;SARI;ASSOMBALONGA
Hatayspor vs. Adana Demirspor - Sunday September 4 - 2022,Hatayspor,hard,4-1-4-1,KARDESLER;FALETTE;YILMAZ;ADEKUGBE;COREKCI;ERGUN;BOUDJEMAA;RIBEIRO;LOBJANIDZE;VARGA;EL KAABI
Galatasaray vs. Gaziantep FK - Monday September 5 - 2022,Galatasaray,easy,4-2-3-1,MUSLERA;BARDAKCI;NELSSON;VAN AANHOLT;BOEY;TORREIRA;OLIVEIRA;AKGUN;AKTURKOGLU;MERTENS;GOMIS
Galatasaray vs. Gaziantep FK - Monday September 5 - 2022,Gaziantep FK,hard,4-2-3-1,GUVENC;DJILOBODJI;ERSOY;ESKIHELLAC;HANOUSEK;KITSIOU;JEVTOVIC;PARMAK;MAXIM;SAGAL;FIGUEIREDO
Alanyaspor vs. Ankaragucu - Friday September 9 - 2022,Alanyaspor,hard,4-2-3-1,RUNARSSON;BAYIR;AKSOY;BALKOVEC;PEREIRA;DOUMBIA;GUNES;KARACA;BEKIROGLU;EDUARDO;AYDIN
Alanyaspor vs. Ankaragucu - Friday September 9 - 2022,Ankaragucu,hard,4-2-3-1,GUNGORDU;CANKAYA;MUJAKIC;GURELER;CEYLAN;CIGERCI;PEDRINHO;ANTALYALI;BERIDZE;ARIYIBI;SOWE
Fatih Karagumruk vs. Giresunspor - Saturday September 10 - 2022,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BANIYA;DRESEVIC;DURSUN;ERKIN;OZDOEV;SHUKUROV;DURMAZ;COLLEY;BORINI;DIAGNE
Fatih Karagumruk vs. Giresunspor - Saturday September 10 - 2022,Giresunspor,hard,4-2-3-1,PIRI;ARIAS;PEREZ;ULUDAG;BILAZER;CAMPUZANO;MEJIA;SAVICEVIC;SAINZ;SERGINHO;BAJIC
Konyaspor vs. Hatayspor - Saturday September 10 - 2022,Hatayspor,hard,4-1-4-1,KARDESLER;FALETTE;YILMAZ;ADEKUGBE;COREKCI;ERGUN;BOUDJEMAA;RIBEIRO;LOBJANIDZE;VARGA;EL KAABI
Konyaspor vs. Hatayspor - Saturday September 10 - 2022,Konyaspor,hard,4-2-3-1,SEHIC;CALVO;DEMIRBAG;GUILHERME;OGUZ;HADZIAHMETOVIC;DIKMEN;CEKICI;BYTYQI;MURIC;DEMIR
Gaziantep FK vs. Umraniyespor - Sunday September 11 - 2022,Gaziantep FK,hard,4-2-3-1,GUVENC;DJILOBODJI;ERSOY;HANOUSEK;ESKIHELLAC;KITSIOU;JEVTOVIC;PARMAK;MAXIM;SAGAL;FIGUEIREDO
Gaziantep FK vs. Umraniyespor - Sunday September 11 - 2022,Umraniyespor,hard,4-1-4-1,OZDEMIR;GLUMAC;LENJANI;SACKEY;YILMAZ;GURBULAK;GOKSU;AVOUNOU;GHEORGHE;GERALDO;NAYIR
Kasimpasa vs. Galatasaray - Sunday September 11 - 2022,Galatasaray,easy,4-2-3-1,MUSLERA;BAYRAM;NELSSON;VAN AANHOLT;BOEY;TORREIRA;OLIVEIRA;AKGUN;AKTURKOGLU;MERTENS;GOMIS
Kasimpasa vs. Galatasaray - Sunday September 11 - 2022,Kasimpasa,hard,4-1-4-1,TASKIRAN;CIFTPINAR;GRAOVAC;TIRPAN;HADERGJONAJ;CELINA;HAJRADINOVIC;EYSSERIC;BEN OUANES;FALL;BAHOKEN
Kayserispor vs. Antalyaspor - Sunday September 11 - 2022,Antalyaspor,hard,4-2-3-1,BOFFIN;SARI;KUDRYASHOV;FLORANUS;VURAL;FERNANDO;AYDOGDU;OZMERT;NDAO;GHACHA;WRIGHT
Kayserispor vs. Antalyaspor - Sunday September 11 - 2022,Kayserispor,hard,4-1-4-1,BAYAZIT;KOLOVETSIOS;KOCAMAN;CAROLE;BULUT;CAMPANHARO;MENSAH;CARDOSO;CIVELEK;GAVRANOVIC;THIAM
Sivasspor vs. Istanbulspor - Sunday September 11 - 2022,Istanbulspor,hard,5-4-1,JENSEN;ERDOGAN;YESIL;AKSU;YASAR;BERBER;KABASAKAL;SARIKAYA;ETHEMI;TOPALLI;YILMAZ
Sivasspor vs. Istanbulspor - Sunday September 11 - 2022,Sivasspor,hard,4-2-3-1,VURAL;OSMANPASA;GOUTAS;ERDAL;PALULI;ULVESTAD;CHARISIS;SABA;GRADEL;N'JIE;YATABARE
Adana Demirspor vs. Trabzonspor - Monday September 12 - 2022,Adana Demirspor,hard,4-2-3-1,OZBIR;RAKITSKYI;AKAYDIN;RODRIGUES;SVENSSON;NDIAYE;STAMBOULI;AKBABA;BELHANDA;ONYEKURU;SARI
Adana Demirspor vs. Trabzonspor - Monday September 12 - 2022,Trabzonspor,easy,4-4-2,CAKIR;VITOR HUGO;GBAMIN;BARTRA;ELMALI;STRYGER;BAKASETAS;BARDHI;TREZEGUET;GOMEZ;BOZOK
Besiktas vs. Basaksehir - Monday September 12 - 2022,Basaksehir,hard,4-1-4-1,BABACAN;NDAYISHIMIYE;DUARTE;LIMA;SAHINER;TEKDEMIR;BIGLIA;OZCAN;CHOUIAR;TRAORE;KENY
Besiktas vs. Basaksehir - Monday September 12 - 2022,Besiktas,easy,4-3-3,BILGIN;SAISS;MASUAKU;ROSIER;VARDAR;UYSAL;FERNANDES;UCAN;N'KOUDOU;WEGHORST;MULEKA
