game,team,difficulty,formation,lineup,lineup_numbers
Ankaragucu vs. Trabzonspor - Sunday February 24 - 2002,Ankaragucu,hard,3-5-2,OZGULTEKIN;BARIS;KUTLU;OZSARAC;DURSUN;TASDEMIR;NAMDAR;YILDIRIM;GUNEY;KELES;AHINFUL,22;45;4;3;2;76;39;36;12;10;15
Ankaragucu vs. Trabzonspor - Sunday February 24 - 2002,Trabzonspor,easy,3-5-2,AKTAS;DUYMUS;MARKOV;GUVEN;SOMERS;JARRO;MEHMET AURELIO;UCUNCU;KARADENIZ;MANDIRALI;DEMIRAY,1;49;55;3;8;13;15;67;61;10;37
Denizlispor vs. Fenerbahce - Sunday February 24 - 2002,Denizlispor,hard,3-5-2,KUCUK;CIMEN;KAFKAS;ERTUGRUL;BAYAZIT;KARTOP;BILAZER;KAHRAMAN;ZAJAC;CIHAN;COULIBALY,1;3;19;55;7;6;10;5;16;50;27
Denizlispor vs. Fenerbahce - Sunday February 24 - 2002,Fenerbahce,easy,4-3-3,RECBER;ERCAN;OZAT;MIRKOVIC;AKYEL;SIMAO;REVIVO;TEMIZKANOGLU;RAPAIC;DERELIOGLU;AKIN,1;18;16;6;22;25;10;3;8;29;9
Rizespor vs. Malatyaspor - Sunday February 24 - 2002,Malatyaspor,hard,3-5-2,MILOSEVSKI;KORKMAZ;ABAZI;SAHIN;SAKIRI;DEMIRCI;TURHAN;YILDIRIMKAYA;AKSOY;ULUSOY;YAVAS,1;3;32;65;28;6;25;8;13;9;10
Rizespor vs. Malatyaspor - Sunday February 24 - 2002,Rizespor,hard,3-5-2,HAMIDOU;DERELI;AVCI;ASIL;KAZMAZ;AYHAN;NAMLI;ALPUGAN;OZDEMIR;OZER;TETTEH,1;4;41;6;53;8;11;74;88;7;35
Yimpas Yozgatspor vs. Goztepe - Sunday February 24 - 2002,Goztepe,hard,3-5-2,MAJDAN;CETIN;SOZERI;GUSAR;OZTURK;ONUR;MKHALELE;BOZACI;AKINCI;OZKAN;BIRYOL,33;36;27;41;54;46;85;53;34;11;15
Yimpas Yozgatspor vs. Goztepe - Sunday February 24 - 2002,Yimpas Yozgatspor,hard,3-5-2,TOKGOZ;ARSLAN;OZER;BAYER;KARACA;KARAKAYIS;MARJAMAA;SIMSEK;HINCAL;PREKO;SUMIALA,99;4;16;51;6;59;5;77;7;17;9
Fenerbahce vs. Rizespor - Friday March 1 - 2002,Fenerbahce,easy,3-5-2,RECBER;AKYEL;OZAT;MIRKOVIC;RAPAIC;SIMAO;REVIVO;ERCAN;TEMIZKANOGLU;ANDERSSON;AKIN,1;22;16;6;8;25;10;18;3;19;9
Fenerbahce vs. Rizespor - Friday March 1 - 2002,Rizespor,hard,3-5-2,HAMIDOU;DIENG;AVCI;ASIL;AYHAN;ALNOUDJI;NAMLI;ALPUGAN;OZDEMIR;TETTEH;KAZMAZ,1;14;41;6;8;18;11;74;88;35;53
Besiktas vs. Yimpas Yozgatspor - Saturday March 2 - 2002,Besiktas,easy,3-5-2,MYHRE;GURACAR;BESERLER;YILDIRIM;UZULMEZ;BAYA;HAVUTCU;METIN;TUNA;MANSIZ;DURSUN,1;18;25;4;19;7;3;20;17;26;10
Besiktas vs. Yimpas Yozgatspor - Saturday March 2 - 2002,Yimpas Yozgatspor,hard,5-3-2,TOKGOZ;KARACA;OZER;ARSLAN;MARJAMAA;BAYER;DALCICEK;KARAKAYIS;HINCAL;PREKO;SUMIALA,99;6;16;4;5;51;66;59;7;17;9
Genclerbirligi vs. Denizlispor - Saturday March 2 - 2002,Denizlispor,hard,3-5-2,KUCUK;AKICI;KAFKAS;CIMEN;HIETANEN;ERTUGRUL;KARTOP;ZAJAC;TANDOGAN;CIHAN;BILAZER,1;4;19;3;2;55;6;16;22;50;10
Genclerbirligi vs. Denizlispor - Saturday March 2 - 2002,Genclerbirligi,hard,3-5-2,NYS;EL SAKA;TOPRAKTEPE;DOGANTEZ;GULDUREN;ZDEBEL;MBAYO;BASTURK;KOC;AYDIN;AHMED HASSAN,1;6;2;4;3;8;14;10;54;19;12
Samsunspor vs. Gaziantepspor - Saturday March 2 - 2002,Gaziantepspor,hard,3-5-2,TUNCAY;TORAMAN;PEREIRA;AKBULUT;ROMASHCHENKO;ANDRE SANTOS;JULIO CESAR;KOPRULU;ASLAN;TEKKE;SAHINTURK,48;19;44;16;22;15;99;20;7;61;10
Samsunspor vs. Gaziantepspor - Saturday March 2 - 2002,Samsunspor,hard,3-5-2,BOUKAR;YELEK;HOCAOGLU;GUNGOR;DOKME;SOUZA;CAN;SAGIR;KORKMAZ;YILMAZ;SAGLAM,12;34;4;13;15;18;99;55;7;10;6
Trabzonspor vs. Kocaelispor - Saturday March 2 - 2002,Kocaelispor,hard,3-5-2,MERT;ARSLANER;AK;SARMAN;COLAK;HASPOLATLI;VERGUL;ABDELAZIZ;DABROWSKI;AYEW;LAZAROV,1;13;8;2;5;18;33;15;7;9;11
Trabzonspor vs. Kocaelispor - Saturday March 2 - 2002,Trabzonspor,easy,3-5-2,AKTAS;BECEREN;MARKOV;DUYMUS;SOMERS;UCUNCU;OZGUR;MEHMET AURELIO;KARADENIZ;MANDIRALI;DEMIRAY,1;34;55;49;8;67;11;15;61;10;37
Bursaspor vs. Ankaragucu - Sunday March 3 - 2002,Ankaragucu,hard,3-5-2,OZGULTEKIN;BARIS;KUTLU;OZSARAC;DURSUN;OZLEM;NAMDAR;TASDEMIR;GUNEY;KELES;AHINFUL,22;45;4;3;2;5;39;76;12;10;15
Bursaspor vs. Ankaragucu - Sunday March 3 - 2002,Bursaspor,hard,3-5-2,KELEMEN;BOUAZIZI;KILIC;HACIOGLU;SEN;ER;MOSHOEU;ATALAY;DEMIR;ALKAN;KUCUKVARDAR,12;13;17;53;11;14;1;21;8;20;9
Diyarbakirspor vs. Istanbulspor - Sunday March 3 - 2002,Diyarbakirspor,hard,3-5-2,KARAGOL;MOURA;ZAFER;DUMAN;KOCAK;BEYAZ;YUCETAS;KOLGU;BOLUKBASI;ULUSAL;KONA,28;33;5;51;99;27;6;11;77;8;24
Diyarbakirspor vs. Istanbulspor - Sunday March 3 - 2002,Istanbulspor,hard,4-4-2,ZDRAVKOV;PETKOV;AYHAN;GUR;HUSEYINOGLU;ONATLI;SAIDOU;SAHIN;UCUNCU;YOZGATLI;ISLER,1;6;69;45;52;35;20;21;10;13;9
Goztepe vs. Galatasaray - Sunday March 3 - 2002,Galatasaray,easy,4-4-2,MONDRAGON;PENBE;ASIK;KORKMAZ;CAPONE;AKMAN;FLEURQUIN;GOKTAN;SAS;NICULESCU;ERDEM,1;67;5;3;35;18;23;7;11;26;6
Goztepe vs. Galatasaray - Sunday March 3 - 2002,Goztepe,hard,3-5-2,KORK;GUSAR;CETIN;SOZERI;ONUR;BOZACI;OZTURK;YUNGUL;AKINCI;OZKAN;BIRYOL,18;41;36;27;46;53;54;8;34;11;15
Malatyaspor vs. Antalyaspor - Sunday March 3 - 2002,Antalyaspor,hard,4-5-1,RICHARD KINGSON;KAMBUROGLU;GINCHEV;YAVAS;SAATCIOGLU;GURSEL;KARAMAN;OZALP;CIMSIR;YALCINKAYA;BIRLIK,78;74;23;35;5;39;34;3;11;19;24
Malatyaspor vs. Antalyaspor - Sunday March 3 - 2002,Malatyaspor,hard,3-5-2,MILOSEVSKI;SEYHAN;KORKMAZ;SAHIN;DEMIRCI;TURHAN;YILDIRIMKAYA;SAKIRI;AKSOY;ULUSOY;YAVAS,1;17;3;65;6;25;8;28;13;9;10
