game,team,difficulty,formation,lineup,lineup_numbers
Antalyaspor vs. Diyarbakirspor - Sunday April 21 - 2002,Antalyaspor,hard,3-5-2,RICHARD KINGSON;GINCHEV;SAATCIOGLU;BULUT;GURSEL;CIMSIR;YAVAS;KARAMAN;YALCINKAYA;BIRLIK;AKYUZ,78;23;5;17;39;11;35;34;19;24;18
Antalyaspor vs. Diyarbakirspor - Sunday April 21 - 2002,Diyarbakirspor,hard,3-5-2,KARAGOL;MOURA;ZAFER;DUMAN;KOCAK;BEYAZ;KOLGU;YUCETAS;BOLUKBASI;ULUSAL;DIDA,28;33;5;51;99;27;11;6;77;8;20
Denizlispor vs. Istanbulspor - Sunday April 21 - 2002,Denizlispor,hard,3-5-2,SOULAMA;CIMEN;AKICI;ZAJAC;BAYAZIT;KARTOP;HELIN;KAHRAMAN;TANDOGAN;CIHAN;BIRDAL,33;3;4;16;7;6;15;5;22;50;11
Denizlispor vs. Istanbulspor - Sunday April 21 - 2002,Istanbulspor,hard,3-5-2,GUNGOR;AKBAS;BURUK;HUSEYINOGLU;ERDOGAN;SAIDOU;UCUNCU;SAHIN;ANDRE BORGES;ZUBANOVIC;ISLER,12;98;5;52;33;20;10;21;2;7;9
Fenerbahce vs. Trabzonspor - Sunday April 21 - 2002,Fenerbahce,easy,3-5-2,DAGLAROGLU;AKYEL;TEMIZKANOGLU;MIRKOVIC;BAYRAKTAR;JOHNSON;SIMSEK;GUNES;AKIN;ANDERSSON;REVIVO,13;22;3;6;7;28;20;30;9;19;10
Fenerbahce vs. Trabzonspor - Sunday April 21 - 2002,Trabzonspor,easy,3-5-2,ATAMAN;GUVEN;DUYMUS;OZTURK;SOMERS;UCUNCU;MEHMET AURELIO;KOLOMOC;KARADENIZ;BIULA;OZGUR,35;3;49;4;8;67;15;14;61;17;11
Galatasaray vs. Ankaragucu - Sunday April 21 - 2002,Ankaragucu,hard,4-2-3-1,OZGULTEKIN;DURSUN;KUTLU;BARIS;OZSARAC;GUNEY;OZLEM;TASDEMIR;NAMDAR;KELES;AHINFUL,22;2;4;45;3;12;5;76;39;10;15
Galatasaray vs. Ankaragucu - Sunday April 21 - 2002,Galatasaray,easy,4-4-2,MONDRAGON;VICTORIA;ASIK;KORKMAZ;PEREZ;PENBE;BATISTA;AKMAN;SAS;KARAN;ERDEM,1;14;5;3;15;67;4;18;11;9;6
Gaziantepspor vs. Goztepe - Sunday April 21 - 2002,Gaziantepspor,hard,3-5-2,CATKIC;TORAMAN;MARANGOZ;ANDRE SANTOS;ROMASHCHENKO;KOPRULU;GUNES;ASLAN;EREN;JULIO CESAR;VIOLA,1;19;6;15;22;20;63;7;14;99;21
Gaziantepspor vs. Goztepe - Sunday April 21 - 2002,Goztepe,hard,3-5-2,MAJDAN;CETIN;ONUR;SOZERI;OZTURK;KOK;MKHALELE;YUNGUL;AKINCI;MARTIN;OZKAN,33;36;46;27;54;19;85;8;34;28;11
Kocaelispor vs. Yimpas Yozgatspor - Sunday April 21 - 2002,Kocaelispor,hard,4-4-2,SAHIN;COLAK;SARMAN;OZTONGA;ARSLANER;TOPRAKTEPE;VERGUL;ALEKSANDROV;HASPOLATLI;AYEW;LAZAROV,77;5;2;3;13;41;33;10;18;9;11
Kocaelispor vs. Yimpas Yozgatspor - Sunday April 21 - 2002,Yimpas Yozgatspor,hard,3-5-2,DIALLO;ARSLAN;OZER;OZER;SIMSEK;HINCAL;KARAKAYIS;HAMZAOGLU;SANCARBARLAS;PREKO;SUMIALA,1;4;16;56;77;7;59;8;36;17;9
Malatyaspor vs. Bursaspor - Sunday April 21 - 2002,Bursaspor,hard,3-5-2,KELEMEN;OZBEY;DAMLA;KILIC;VAR;MOSHOEU;YESIL;ATALAY;ER;SEN;YILMAZ,12;6;3;17;54;1;29;21;14;11;10
Malatyaspor vs. Bursaspor - Sunday April 21 - 2002,Malatyaspor,hard,3-5-2,MILOSEVSKI;SEYHAN;KORKMAZ;SAHIN;DEMIRCI;YAVAS;KOC;TURHAN;AKSOY;ZE CARLOS;ULUSOY,1;17;3;65;6;10;33;25;13;77;9
Samsunspor vs. Rizespor - Sunday April 21 - 2002,Rizespor,hard,3-5-2,YIGITER;DERELI;AVCI;ASIL;BILGE;NAMLI;KAZMAZ;ALPUGAN;OZDEMIR;OZER;TETTEH,21;4;41;6;33;11;53;74;88;7;35
Samsunspor vs. Rizespor - Sunday April 21 - 2002,Samsunspor,hard,3-5-2,GENCER;YELEK;HOCAOGLU;GUNGOR;ULUN;NAS;DURO;DOKME;KARABABA;YILMAZ;SAGLAM,1;34;4;13;3;24;21;15;23;10;6
Ankaragucu vs. Denizlispor - Saturday April 27 - 2002,Ankaragucu,hard,3-5-2,OZGULTEKIN;BARIS;KUTLU;OZSARAC;TURKMEHMET;OZLEM;AHINFUL;TASDEMIR;GUNEY;KENNEDY;KELES,22;45;4;3;20;5;15;76;12;18;10
Ankaragucu vs. Denizlispor - Saturday April 27 - 2002,Denizlispor,hard,3-5-2,SOULAMA;CIMEN;AKICI;ZAJAC;HIETANEN;KARTOP;ERTUGRUL;HELIN;TANDOGAN;CIHAN;BAYAZIT,33;3;4;16;2;6;55;15;22;50;7
Besiktas vs. Goztepe - Saturday April 27 - 2002,Besiktas,easy,3-5-2,ASPER;BESERLER;GURACAR;YILDIRIM;UZULMEZ;HAVUTCU;METIN;BOZKURT;TUNA;STAVRUM;DURSUN,33;25;18;4;19;3;20;14;17;9;10
Besiktas vs. Goztepe - Saturday April 27 - 2002,Goztepe,hard,4-5-1,MAJDAN;UYSAL;CETIN;GUSAR;ARAYICI;BAKI;ONUR;MKHALELE;YUNGUL;AKINCI;OZKAN,33;7;36;41;99;21;46;85;8;34;11
Diyarbakirspor vs. Malatyaspor - Saturday April 27 - 2002,Diyarbakirspor,hard,3-5-2,KARAGOL;ERDOGAN;ZAFER;DUMAN;KOCAK;MOURA;DIDA;KOLGU;BOLUKBASI;ULUSAL;KONA,28;4;5;51;99;33;20;11;77;8;24
Diyarbakirspor vs. Malatyaspor - Saturday April 27 - 2002,Malatyaspor,hard,3-5-2,MILOSEVSKI;SEYHAN;KORKMAZ;DEMIRCI;SAKIRI;KOC;TURHAN;ABAZI;SAHIN;ULUSOY;BENSOL,1;17;3;6;28;33;25;32;65;9;11
Istanbulspor vs. Rizespor - Saturday April 27 - 2002,Istanbulspor,hard,3-5-2,GUNGOR;HUSEYINOGLU;AKBAS;ANDRE BORGES;PETKOV;SAHIN;SAIDOU;ERDOGAN;BURUK;UCUNCU;ISLER,12;52;98;2;6;21;20;33;5;10;9
Istanbulspor vs. Rizespor - Saturday April 27 - 2002,Rizespor,hard,3-5-2,YIGITER;KURKCU;DERELI;NAS;KAZMAZ;NAMLI;OZDEMIR;ALPUGAN;ASIL;OZTURK;TETTEH,21;38;4;70;53;11;88;74;6;9;35
Samsunspor vs. Antalyaspor - Saturday April 27 - 2002,Antalyaspor,hard,3-5-2,RICHARD KINGSON;YAVAS;SAATCIOGLU;GINCHEV;OZALP;KARAMAN;GURSEL;CIMSIR;YALCINKAYA;BIRLIK;AKYUZ,78;35;5;23;3;34;39;11;19;24;18
Samsunspor vs. Antalyaspor - Saturday April 27 - 2002,Samsunspor,hard,3-5-2,GENCER;YELEK;KOLOGLU;GUNGOR;ULUN;NAS;SAGIR;DOKME;KARABABA;YILMAZ;SAGLAM,1;34;5;13;3;24;55;15;23;10;6
Trabzonspor vs. Genclerbirligi - Saturday April 27 - 2002,Genclerbirligi,hard,3-5-2,SONMEZ;DOGANTEZ;EL SAKA;TOPRAKTEPE;DAEMS;ZDEBEL;BASTURK;AHMED HASSAN;KOC;AYDIN;YOULA,
Trabzonspor vs. Genclerbirligi - Saturday April 27 - 2002,Trabzonspor,easy,4-4-2,ATAMAN;DUYMUS;MARKOV;OZKOYLU;OZTURK;MEHMET AURELIO;UCUNCU;OZGUR;BIULA;KARADENIZ;MANDIRALI,
Yimpas Yozgatspor vs. Gaziantepspor - Saturday April 27 - 2002,Gaziantepspor,hard,3-5-2,CATKIC;TORAMAN;MARANGOZ;ANDRE SANTOS;ROMASHCHENKO;KOPRULU;GUNES;ASLAN;EREN;JULIO CESAR;VIOLA,1;19;6;15;22;20;63;7;14;99;21
Yimpas Yozgatspor vs. Gaziantepspor - Saturday April 27 - 2002,Yimpas Yozgatspor,hard,3-5-2,DIALLO;BAYER;OZER;OZER;KARACA;KOC;KARAKAYIS;HINCAL;OZBAY;SAKYI;PREKO,1;51;16;56;6;3;59;7;2;32;17
Bursaspor vs. Fenerbahce - Sunday April 28 - 2002,Bursaspor,hard,4-4-2,KELEMEN;DAMLA;OZBEY;BOUAZIZI;KILIC;ATALAY;MOSHOEU;ER;YESIL;SEN;YILMAZ,12;3;6;13;17;21;1;14;29;11;10
Bursaspor vs. Fenerbahce - Sunday April 28 - 2002,Fenerbahce,easy,3-5-2,RECBER;AKYEL;OZAT;MIRKOVIC;BAYRAKTAR;JOHNSON;ERIS;TEMIZKANOGLU;GUNES;AKIN;REVIVO,1;22;16;6;7;28;14;3;30;9;10
Kocaelispor vs. Galatasaray - Sunday April 28 - 2002,Galatasaray,easy,4-4-2,MONDRAGON;VICTORIA;INCEEFE;ASIK;PEREZ;PENBE;BATISTA;AKMAN;SAS;KARAN;ERDEM,1;14;2;5;15;67;4;18;11;9;6
Kocaelispor vs. Galatasaray - Sunday April 28 - 2002,Kocaelispor,hard,4-2-3-1,SAHIN;COLAK;ARSLANER;SARMAN;HASPOLATLI;VERGUL;ABDELAZIZ;LAZAROV;ALEKSANDROV;OZTONGA;TOPRAKTEPE,77;5;13;2;18;33;5;11;10;3;41
Goztepe vs. Trabzonspor - Friday May 3 - 2002,Goztepe,hard,3-5-2,KORK;BOZACI;ARAYICI;CETIN;UYSAL;COLGECEN;BAKI;YUNGUL;AKINCI;MKHALELE;OZKAN,18;53;99;36;7;17;21;8;34;85;11
Goztepe vs. Trabzonspor - Friday May 3 - 2002,Trabzonspor,easy,3-5-2,ATAMAN;KOLOMOC;MARKOV;OZTURK;KARADENIZ;MEHMET AURELIO;OZGUR;OZKOYLU;UCUNCU;BUSHI;BIULA,35;14;55;4;61;15;11;5;67;26;17
Antalyaspor vs. Istanbulspor - Saturday May 4 - 2002,Antalyaspor,hard,3-5-2,UCAN;KAMBUROGLU;SAATCIOGLU;YALCINKAYA;OZALP;CIMSIR;ONCAN;OZDEMIR;KARAMAN;GURSEL;ISAAC,30;74;5;19;3;11;22;76;34;39;77
Antalyaspor vs. Istanbulspor - Saturday May 4 - 2002,Istanbulspor,hard,3-5-2,GUNGOR;HUSEYINOGLU;AYHAN;PETKOV;ERDOGAN;SAHIN;BURUK;ONATLI;ANDRE BORGES;YANIK;ISLER,12;52;69;6;33;21;5;35;2;55;9
Denizlispor vs. Kocaelispor - Saturday May 4 - 2002,Denizlispor,hard,4-4-2,SOULAMA;ZAJAC;CIMEN;ERTUGRUL;TANDOGAN;BAYAZIT;KARTOP;KAHRAMAN;HELIN;CIHAN;BIRDAL,33;16;3;55;22;7;6;5;15;50;11
Denizlispor vs. Kocaelispor - Saturday May 4 - 2002,Kocaelispor,hard,3-5-2,SAHIN;ARSLANER;COLAK;SARMAN;BARIS;VERGUL;ABDELAZIZ;OZTONGA;YIGIT;HASPOLATLI;TOPRAKTEPE,77;13;5;2;17;33;15;3;6;18;41
Fenerbahce vs. Diyarbakirspor - Saturday May 4 - 2002,Diyarbakirspor,hard,4-4-2,KARAGOL;MOURA;ZAFER;ERDOGAN;DUMAN;KOCAK;BOLUKBASI;YUCETAS;KOLGU;ULUSAL;KONA,28;33;5;4;51;99;77;6;11;8;24
Fenerbahce vs. Diyarbakirspor - Saturday May 4 - 2002,Fenerbahce,easy,3-5-2,RECBER;AKYEL;OZAT;MIRKOVIC;BAYRAKTAR;JOHNSON;ERIS;TEMIZKANOGLU;GUNES;AKIN;REVIVO,1;22;16;6;7;28;14;3;30;9;10
Galatasaray vs. Yimpas Yozgatspor - Saturday May 4 - 2002,Galatasaray,easy,4-4-2,MONDRAGON;VICTORIA;ASIK;KORKMAZ;PEREZ;PENBE;KAYA;GOKTAN;AKMAN;NICULESCU;ERDEM,1;14;5;3;15;67;8;7;18;26;6
Galatasaray vs. Yimpas Yozgatspor - Saturday May 4 - 2002,Yimpas Yozgatspor,hard,4-4-2,TOKGOZ;OZER;OZER;ARSLAN;SANCARBARLAS;SIMSEK;KARAKAYIS;HAMZAOGLU;OZBAY;PREKO;SUMIALA,99;56;16;4;36;77;59;8;2;17;9
Gaziantepspor vs. Besiktas - Saturday May 4 - 2002,Besiktas,easy,3-5-2,ASPER;BESERLER;GURACAR;YILDIRIM;UZULMEZ;HAVUTCU;BOZKURT;BEKTAS;TUNA;MANSIZ;METIN,33;25;18;4;19;3;14;11;17;26;20
Gaziantepspor vs. Besiktas - Saturday May 4 - 2002,Gaziantepspor,hard,4-4-2,CATKIC;ANDRE SANTOS;TORAMAN;GUNES;EREN;ROMASHCHENKO;MARANGOZ;ASLAN;KOPRULU;JULIO CESAR;VIOLA,1;15;19;63;14;22;6;7;20;99;21
Genclerbirligi vs. Bursaspor - Saturday May 4 - 2002,Bursaspor,hard,3-5-2,KELEMEN;BOUAZIZI;OZBEY;VAR;ATALAY;ER;MOSHOEU;DAMLA;HACIOGLU;TELLE;YILMAZ,12;13;6;54;21;14;1;3;53;18;10
Genclerbirligi vs. Bursaspor - Saturday May 4 - 2002,Genclerbirligi,hard,3-5-2,NYS;EL SAKA;DOGANTEZ;TOPRAKTEPE;TATLI;MBAYO;SUMER;ZDEBEL;KOC;AYDIN;AHMED HASSAN,1;6;4;2;28;14;5;8;54;19;12
Rizespor vs. Ankaragucu - Saturday May 4 - 2002,Ankaragucu,hard,3-5-2,OZGULTEKIN;OZSARAC;KUTLU;BARIS;DURSUN;OZLEM;TASDEMIR;TURKMEHMET;GUNEY;KELES;KARTAL,22;3;4;45;2;5;76;20;12;10;32
Rizespor vs. Ankaragucu - Saturday May 4 - 2002,Rizespor,hard,3-5-2,YIGITER;KURKCU;DIENG;ASIL;OZDEMIR;KAZMAZ;ALPUGAN;NAMLI;AZER;OZER;TETTEH,21;38;14;6;88;53;74;11;34;7;35
Samsunspor vs. Malatyaspor - Saturday May 4 - 2002,Malatyaspor,hard,3-3-3-1,MILOSEVSKI;SEYHAN;KORKMAZ;SAHIN;BENSOL;KOC;DEMIRCI;SAKIRI;TURHAN;ABAZI;ULUSOY,1;17;3;65;11;33;6;28;25;32;9
Samsunspor vs. Malatyaspor - Saturday May 4 - 2002,Samsunspor,hard,3-5-2,GENCER;HOCAOGLU;KOLOGLU;GUNGOR;ULUN;DOKME;SAGIR;KARABABA;NAS;YILMAZ;SAGLAM,1;4;5;13;3;15;55;23;24;10;6
