game,team,difficulty,formation,lineup
Ankaragucu vs. Sivasspor - Thursday September 22 - 2011,Ankaragucu,hard,4-2-3-1,ONGUN;CEK;RAJNOCH;TOSCALI;UCAR;WEEKS;GUCER;DURUER;KAGAN SOYLEMEZGILLER;TISDELL;KELES
Ankaragucu vs. Sivasspor - Thursday September 22 - 2011,Sivasspor,hard,4-4-2,KOCA;ERDAL;AKCA;NAVRATIL;KAVUK;KILIC;KARAKAS;BEKMEZCI;GROSICKI;ENERAMO;RASMUSSEN
Bursaspor vs. Besiktas - Thursday September 22 - 2011,Besiktas,easy,4-2-3-1,RECBER;KORKMAZ;SIDNEI;SIVOK;DAG;MEHMET AURELIO;FERNANDES;KOYBASI;SIMAO;QUARESMA;EDU
Bursaspor vs. Besiktas - Thursday September 22 - 2011,Bursaspor,hard,4-2-3-1,CARSON;WEDERSON;AZIZ;OZTURK;CHRETIEN;N'DIAYE;KOCAK;IPEK;BATALLA;BAHADIR;BANGURA
Kayserispor vs. Fenerbahce - Friday September 23 - 2011,Fenerbahce,easy,4-5-1,DEMIREL;ZIEGLER;FABIO BILICA;YOBO;SAM;ERKIN;CRISTIAN;ALEX;IRAVUL;HURMACI;BIENVENU
Kayserispor vs. Fenerbahce - Friday September 23 - 2011,Kayserispor,hard,4-3-3,NAVARRO;KALDIRIM;GUNGOR;ZURAB KHIZANISHVILI;PEKARIK;RIVEROS;BEKDEMIR;SANTANA;AMRABAT;SISMANOGLU;YILMAZ
Manisaspor vs. Istanbul Buyuksehir Belediyespor - Saturday September 24 - 2011,Istanbul Buyuksehir Belediyespor,hard,4-2-3-1,HASAGIC;SUZEN;ARAT;DEPE;KUS;TEKDEMIR;YALCIN;DOKA MADUREIRA;HOLMEN;VISCA;WEBO
Manisaspor vs. Istanbul Buyuksehir Belediyespor - Saturday September 24 - 2011,Manisaspor,hard,4-3-3,AVCIBAY;COKMUS;TOK;AKAMINKO;BARIS;GUVEN;ERDOGAN;INCEDEMIR;SIMPSON;KAHE;GOKOGLAN
Mersin Idmanyurdu vs. Gaziantepspor - Saturday September 24 - 2011,Gaziantepspor,hard,4-2-3-1,BEZGIN;IVAN;GUNGOR;NOUNKEU;SUME;GULLE;PEHLIVAN;POPOV;WAGNER;SOSA;TOSUN
Mersin Idmanyurdu vs. Gaziantepspor - Saturday September 24 - 2011,Mersin Idmanyurdu,hard,4-2-3-1,ARIKAN;KECELI;BOUM;KAS;OZBAY;BEN YAHIA;ZURITA;ANDRE MORITZ;OZGUR;OZOKWO;NOBRE
Trabzonspor vs. Kardemir Dc Karabukspor - Saturday September 24 - 2011,Kardemir Dc Karabukspor,hard,4-3-3,TOMIC;NIKOLIC;SELVI;DEUMI;OZGENC;RAGUED;CERNAT;HIKMET;SHELTON;PARLAK;CAKIR
Trabzonspor vs. Kardemir Dc Karabukspor - Saturday September 24 - 2011,Trabzonspor,easy,4-1-3-2,ZENGIN;OZTORUN;GLOWACKI;KACAR;CELUSTKA;ZOKORA;ALANZINHO;SAPARA;SEN;YILMAZ;BROZEK
Besiktas vs. Antalyaspor - Sunday September 25 - 2011,Antalyaspor,hard,4-3-3,CATKIC;MINEV;BARIS;TURAN;TANDOGAN;INCEMAN;DAGASAN;SERAS;BOYRAZ;ATES;AYDIN
Besiktas vs. Antalyaspor - Sunday September 25 - 2011,Besiktas,easy,4-2-3-1,GONEN;KOYBASI;KORKMAZ;SIDNEI;TORAMAN;ERNST;UYSAL;KAVLAK;SIMAO;HOLOSKO;PEKTEMEK
Genclerbirligi vs. Ankaragucu - Sunday September 25 - 2011,Ankaragucu,hard,4-3-3,ONGUN;RAJNOCH;TOSCALI;BAHTIYAROGLU;UCAR;VAROL;KAGAN SOYLEMEZGILLER;GUCER;CEK;KELES;TISDELL
Genclerbirligi vs. Ankaragucu - Sunday September 25 - 2011,Genclerbirligi,hard,4-3-3,KARABULUT;DELIBALTA;DEMIR;OZSARAC;AKGUN;CAN;ILERI;AYDOGDU;OZTEKIN;ZEC;MERIC
Orduspor vs. Samsunspor - Sunday September 25 - 2011,Orduspor,hard,4-3-3,FORNEZZI;OZKAN;AYHAN;CURUKSU;GARCIA;GOSSO;CULIO;TUNCER;STANCU;TEKKE;DALMAT
Orduspor vs. Samsunspor - Sunday September 25 - 2011,Samsunspor,hard,4-4-2,TASKIRAN;TEBER;ANDRE BAHIA;TOKAK;KHUBUTIA;YILDIRIM;SARP;FINK;DOMINGUEZ;DILAVER;BANCE
Sivasspor vs. Bursaspor - Sunday September 25 - 2011,Bursaspor,hard,4-2-3-1,CARSON;WEDERSON;ERDOGAN;OZTURK;CHRETIEN;KOCAK;N'DIAYE;IPEK;BATALLA;BAHADIR;SESTAK
Sivasspor vs. Bursaspor - Sunday September 25 - 2011,Sivasspor,hard,4-4-2,KOCA;YERLIKAYA;AKCA;NAVRATIL;KAVUK;KILIC;NAS;BEKMEZCI;GROSICKI;RASMUSSEN;ENERAMO
Galatasaray vs. Eskisehirspor - Monday September 26 - 2011,Eskisehirspor,hard,4-2-3-1,IVESA;DEDE;DIEGO ANGELO;NADAREVIC;COSKUN;ARSLAN;SARI;KAMARA;POTUK;ZENGIN;YILDIZ
Galatasaray vs. Eskisehirspor - Monday September 26 - 2011,Galatasaray,easy,4-1-4-1,ERCETIN;BALTA;UJFALUSI;ZAN;SARIOGLU;FELIPE MELO;RIERA;INAN;BAYTAR;KAZIM-RICHARDS;ELMANDER
Bursaspor vs. Genclerbirligi - Friday September 30 - 2011,Bursaspor,hard,4-2-3-1,CARSON;WEDERSON;AZIZ;STEPANOV;CHRETIEN;N'DIAYE;KOCAK;IPEK;INSUA;BAHADIR;SESTAK
Bursaspor vs. Genclerbirligi - Friday September 30 - 2011,Genclerbirligi,hard,4-3-3,KOSE;SEDEF;DEMIR;OZSARAC;AKGUN;AZOFEIFA;ILERI;AYDOGDU;OZTEKIN;TUM;MUNUNGA
Antalyaspor vs. Sivasspor - Saturday October 1 - 2011,Antalyaspor,hard,4-3-3,CATKIC;MINEV;NIZAM;TURAN;TANDOGAN;DAGASAN;BASSAN;INCEMAN;TITA;ATES;AYDIN
Antalyaspor vs. Sivasspor - Saturday October 1 - 2011,Sivasspor,hard,4-4-2,KOCA;ERDAL;YERLIKAYA;NAVRATIL;KAVUK;KILIC;NAS;BEKMEZCI;GROSICKI;RASMUSSEN;ENERAMO
Fenerbahce vs. Istanbul Buyuksehir Belediyespor - Saturday October 1 - 2011,Fenerbahce,easy,4-5-1,DEMIREL;ZIEGLER;IRTEGUN;YOBO;SAM;STOCH;CRISTIAN;ALEX;TOPUZ;GONUL;SENTURK
Fenerbahce vs. Istanbul Buyuksehir Belediyespor - Saturday October 1 - 2011,Istanbul Buyuksehir Belediyespor,hard,4-2-3-1,BAHADIR;EKSIOGLU;ARAT;DEPE;KUS;TEKDEMIR;YALCIN;DOKA MADUREIRA;HOLMEN;VISCA;WEBO
