game,team,difficulty,formation,lineup
Trabzonspor vs. Yeni Malatyaspor - Saturday September 26 - 2020,Yeni Malatyaspor,hard,4-2-3-1,HERRERA;KARIM HAFEZ;HADEBE;AKCA;CHEBAKE;ACQUAH;NDAYISHIMIYE;CUEVA;ILDIZ;BUYUK;TETTEH
Galatasaray vs. Fenerbahce - Sunday September 27 - 2020,Fenerbahce,easy,4-2-3-1,BAYINDIR;ERKIN;TISSERAND;LEMOS;GONUL;SOSA;LUIZ GUSTAVO;THIAM;TUFAN;TURUC;VALENCIA
Galatasaray vs. Fenerbahce - Sunday September 27 - 2020,Galatasaray,easy,4-1-4-1,OZTURK;LINNES;MARCAO;LUYINDAMA;ELABDELLAOUI;ANTALYALI;TURAN;BELHANDA;KILINC;FEGHOULI;FALCAO
Konyaspor vs. Besiktas - Sunday September 27 - 2020,Besiktas,easy,4-2-3-1,DESTANOGLU;N'SAKALA;WELINTON;VIDA;UYSAL;TOKOZ;MENSAH;BOYD;LJAJIC;UNER;YALCIN
Konyaspor vs. Besiktas - Sunday September 27 - 2020,Konyaspor,hard,4-2-3-1,SEHIC;GUILHERME;BARDAKCI;DEMIROK;SKUBIC;JEVTOVIC;HADZIAHMETOVIC;MILOSEVIC;SAHINER;SHENGELIA;CIKALLESHI
Rizespor vs. Alanyaspor - Sunday September 27 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;MOUBANDJE;CAULKER;AKSOY;MORENO;BEKIROGLU;SIOPIS;GULSELAM;PEKTEMEK;BABACAR;BINGOL
Rizespor vs. Alanyaspor - Sunday September 27 - 2020,Rizespor,hard,4-1-4-1,AKKAN;MELNJAK;MERIAH;AY;MOROZYUK;DURAK;MICHALAK;FABRICIO BAIANO;ERDOGAN;FERNANDO BOLDRIN;REMY
Sivasspor vs. Ankaragucu - Sunday September 27 - 2020,Ankaragucu,hard,4-2-3-1,FRIEDRICH;PINTO;DIKMEN;PAZDAN;KITSIOU;LUKASIK;DIOUSSE;ADZIC;POTUK;PAINTSIL;BOLINGI
Sivasspor vs. Ankaragucu - Sunday September 27 - 2020,Sivasspor,hard,4-2-3-1,SAMASSA;ERDAL;CAMARA;OSMANPASA;YESILYURT;FAJR;ARSLAN;NINGA;GRADEL;OZTEKIN;YATABARE
Antalyaspor vs. Denizlispor - Monday September 28 - 2020,Antalyaspor,hard,4-1-4-1,BOFFIN;ALBAYRAK;KUDRYASHOV;SARI;BALCI;SAHIN;AMILTON;FREDY;OZMERT;MUKAIRU;JAHOVIC
Antalyaspor vs. Denizlispor - Monday September 28 - 2020,Denizlispor,hard,5-3-2,PANTILIMON;BERGDICH;YILMAZ;FABIANO;YUMLU;LOPES;NIYAZ;MURAWSKI;AISSATI;RODALLEGA;SAGAL
Ankaragucu vs. Kayserispor - Friday October 2 - 2020,Ankaragucu,hard,4-2-3-1,FRIEDRICH;PINTO;DIKMEN;PAZDAN;KITSIOU;LUKASIK;DIOUSSE;PAINTSIL;POTUK;ADZIC;BØRVEN
