game,team,difficulty,formation,lineup
Hatayspor vs. Buyuksehir Belediye Erzurumspor - Wednesday December 9 - 2020,Hatayspor,hard,4-1-4-1,EL KAJOUI;CAMOGLU;SANTOS;ABDIOGLU;POPOV;SACKEY;AKINTOLA;AABID;TRAORE;ILGAZ;DIOUF
Kasimpasa vs. Denizlispor - Friday December 11 - 2020,Denizlispor,hard,4-2-3-1,GONEN;BERGDICH;YUMLU;FABIANO;OZDEMIR;MURAWSKI;BAKALORZ;SAGAL;NIYAZ;SACKO;RODALLEGA
Kasimpasa vs. Denizlispor - Friday December 11 - 2020,Kasimpasa,hard,4-2-3-1,KOSE;ERDOGAN;BRECKA;SERBEST;YILDIRIM;SADIKU;TIRPAN;HODZIC;HAJRADINOVIC;VARGA;KOITA
Ankaragucu vs. Konyaspor - Saturday December 12 - 2020,Ankaragucu,hard,4-2-3-1,FRIEDRICH;PINTO;SARLIJA;CANKAYA;KITSIOU;LUKASIK;DIOUSSE;BOLINGI;CEKICI;LOBJANIDZE;BØRVEN
Ankaragucu vs. Konyaspor - Saturday December 12 - 2020,Konyaspor,hard,3-1-4-2,SEHIC;DEMIROK;BARDAKCI;DEMIRBAG;JEVTOVIC;GUILHERME;MILOSEVIC;HADZIAHMETOVIC;SKUBIC;HURTADO;SAHINER
Fenerbahce vs. Yeni Malatyaspor - Saturday December 12 - 2020,Fenerbahce,easy,4-2-3-1,BAYINDIR;ERKIN;CIFTPINAR;TISSERAND;GONUL;TUFAN;LUIZ GUSTAVO;PELKAS;YANDAS;KADIOGLU;CISSE
Fenerbahce vs. Yeni Malatyaspor - Saturday December 12 - 2020,Yeni Malatyaspor,hard,4-4-2,OZBIR;KARIM HAFEZ;HADEBE;KAYA;CHEBAKE;BUYUK;ACQUAH;NDAYISHIMIYE;BULUT;TETTEH;KANATSIZKUS
Hatayspor vs. Fatih Karagumruk - Saturday December 12 - 2020,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BALKOVEC;ROCO;KURUCUK;CIVELEK;BIGLIA;DURMAZ;SABO;NDIAYE;NDAO;SOBIECH
Hatayspor vs. Fatih Karagumruk - Saturday December 12 - 2020,Hatayspor,hard,4-1-4-1,EL KAJOUI;CAMOGLU;SANTOS;ABDIOGLU;POPOV;SACKEY;AKINTOLA;AABID;TRAORE;ILGAZ;DIOUF
Kayserispor vs. Trabzonspor - Saturday December 12 - 2020,Kayserispor,hard,4-2-3-1,ALEMDAR;BEHICH;KOLOVETSIOS;SAPUNARU;LOPES;ATTAMAH;KVRZIC;PEDRO HENRIQUE;FERNANDES;LENNON;PARLAK
Kayserispor vs. Trabzonspor - Saturday December 12 - 2020,Trabzonspor,easy,4-2-3-1,CAKIR;MARLON;VITOR HUGO;IE;PEREIRA;PARMAK;BAKER;BASACIKOGLU;OMUR;DIABATE;EKUBAN
Rizespor vs. Goztepe - Saturday December 12 - 2020,Goztepe,hard,4-2-3-1,EGRIBAYAT;EMIR;TITI;OZTURK;PALULI;SONMEZ;AYDOGDU;TRIPIC;MARCIO MOSSORO;AKBUNAR;NDIAYE
Rizespor vs. Goztepe - Saturday December 12 - 2020,Rizespor,hard,4-2-3-1,AKKAN;MELNJAK;MERIAH;DILAVER;MOROZYUK;ERDOGAN;DONSAH;ANDRADE;FERNANDO BOLDRIN;MICHALAK;SKODA
Alanyaspor vs. Besiktas - Sunday December 13 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;BINGOL;TZAVELLAS;CAULKER;MORENO;BAKASETAS;SIOPIS;KUTLU;DAVIDSON;BAREIRO;BABACAR
Alanyaspor vs. Besiktas - Sunday December 13 - 2020,Besiktas,easy,4-1-4-1,YUVAKURAN;YILMAZ;MONTERO;WELINTON;ROSIER;SOUZA;LARIN;TOKOZ;HUTCHINSON;GHEZZAL;ABOUBAKAR
Basaksehir vs. Gaziantep FK - Sunday December 13 - 2020,Basaksehir,hard,4-4-2,GUNOK;TURUC;PONCK;TOPAL;RAFAEL;CHADLI;AZUBUIKE;KAHVECI;GULBRANDSEN;BA;CRIVELLI
Basaksehir vs. Gaziantep FK - Sunday December 13 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;VURAL;DJILOBODJI;KANA-BIYIK;TOSCA;OLKOWSKI;MIRALLAS;VETRIH;MAXIM;DEMIR;OZER
Buyuksehir Belediye Erzurumspor vs. Genclerbirligi - Sunday December 13 - 2020,Buyuksehir Belediye Erzurumspor,hard,3-4-3,FARNOLLE;MINA;KARDES;CELIK;KANAK;OBERTAN;AKDAG;UCAR;NOVIKOVAS;GOMES;BASSAN
Buyuksehir Belediye Erzurumspor vs. Genclerbirligi - Sunday December 13 - 2020,Genclerbirligi,hard,4-2-3-1,NORDFELDT;PEHLIVAN;KIZILDAG;PIRIS DA MOTTA;JOHANSSON;OZDEMIR;FURMAN;AYITE;DIKMEN;SIO;STANCU
Sivasspor vs. Antalyaspor - Monday December 14 - 2020,Antalyaspor,hard,4-4-2,BOFFIN;KUDRYASHOV;GULUM;NALDO;BALCI;AMILTON;FREDY;SAHIN;SAM;JAHOVIC;PODOLSKI
Sivasspor vs. Antalyaspor - Monday December 14 - 2020,Sivasspor,hard,4-1-4-1,SAMASSA;CIFTCI;YALCIN;APPINDANGOYE;YARDIMCI;CLAUDEMIR;GRADEL;FAJR;ARSLAN;YATABARE;KAYODE
Ankaragucu vs. Hatayspor - Tuesday December 15 - 2020,Ankaragucu,hard,4-1-4-1,FRIEDRICH;TURAN;DIKMEN;SARLIJA;KITSIOU;CANKAYA;CEKICI;AYGOREN;PINTO;LOBJANIDZE;GURAL
Ankaragucu vs. Hatayspor - Tuesday December 15 - 2020,Hatayspor,hard,4-2-3-1,EL KAJOUI;CAMOGLU;BILLONG;SACKEY;POPOV;RIBEIRO;AABID;AKINTOLA;KARADENIZ;ILGAZ;DIOUF
Fatih Karagumruk vs. Galatasaray - Friday December 18 - 2020,Fatih Karagumruk,hard,4-2-3-1,VIVIANO;BALKOVEC;KURUCUK;ROCO;CIVELEK;BIGLIA;ALTINAY;ERDEM;CHAHECHOUHE;NDAO;SOBIECH
Fatih Karagumruk vs. Galatasaray - Friday December 18 - 2020,Galatasaray,easy,4-1-4-1,KOCUK;SARACCHI;MARCAO;DONK;LINNES;ANTALYALI;AKBABA;FEGHOULI;KILINC;CAGLAYAN;DIAGNE
Gaziantep FK vs. Fenerbahce - Saturday December 19 - 2020,Fenerbahce,easy,4-2-3-1,OZDOGAN;NOVAK;TISSERAND;AZIZ;SANGARE;TUFAN;LUIZ GUSTAVO;PELKAS;YANDAS;KADIOGLU;CISSE
Gaziantep FK vs. Fenerbahce - Saturday December 19 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;VURAL;DJILOBODJI;KANA-BIYIK;TOSCA;OLKOWSKI;MAXIM;VETRIH;MIRALLAS;DEMIR;DICKO
Goztepe vs. Hatayspor - Saturday December 19 - 2020,Goztepe,hard,4-2-3-1,EGRIBAYAT;BUREKOVIC;TITI;OZTURK;GASSAMA;KAYAN;AYDOGDU;TRIPIC;GUILHERME;AKBUNAR;NDIAYE
Goztepe vs. Hatayspor - Saturday December 19 - 2020,Hatayspor,hard,4-2-3-1,EL KAJOUI;KATRANIS;SANTOS;BILLONG;POPOV;RIBEIRO;AABID;BOUPENDZA;TRAORE;AKINTOLA;DIOUF
Trabzonspor vs. Rizespor - Saturday December 19 - 2020,Rizespor,hard,4-2-3-1,AKKAN;MELNJAK;MERIAH;DILAVER;BULUT;ERDOGAN;DONSAH;ANDRADE;FERNANDO BOLDRIN;MICHALAK;SKODA
Trabzonspor vs. Rizespor - Saturday December 19 - 2020,Trabzonspor,easy,4-1-4-1,CAKIR;MARLON;VITOR HUGO;IE;ASAN;BAKER;NWAKAEME;PARMAK;FLAVIO;EKUBAN;DJANINY
Yeni Malatyaspor vs. Kasimpasa - Saturday December 19 - 2020,Kasimpasa,hard,4-2-3-1,TASKIRAN;HADDADI;BRECKA;SERBEST;HADERGJONAJ;TIRPAN;KARA;VARGA;HAJRADINOVIC;ERDOGAN;KOITA
Yeni Malatyaspor vs. Kasimpasa - Saturday December 19 - 2020,Yeni Malatyaspor,hard,4-4-2,OZBIR;CEVAHIR;HADEBE;KAYA;CHEBAKE;BUYUK;ACQUAH;NDAYISHIMIYE;SAHAN;BULUT;KANATSIZKUS
Besiktas vs. Buyuksehir Belediye Erzurumspor - Sunday December 20 - 2020,Besiktas,easy,4-1-4-1,DESTANOGLU;YILMAZ;VIDA;WELINTON;UYSAL;SOUZA;N'KOUDOU;MENSAH;HUTCHINSON;GHEZZAL;ABOUBAKAR
Besiktas vs. Buyuksehir Belediye Erzurumspor - Sunday December 20 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-1-4-1,FARNOLLE;KANAK;HATIPOGLU;CELIK;UCAR;DONALD;SISMANOGLU;OBERTAN;AKDAG;NOVIKOVAS;GOMES
Denizlispor vs. Alanyaspor - Sunday December 20 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;BINGOL;TZAVELLAS;CAULKER;MORENO;BAKASETAS;SIOPIS;KUTLU;DAVIDSON;BAREIRO;UCAN
Denizlispor vs. Alanyaspor - Sunday December 20 - 2020,Denizlispor,hard,4-1-4-1,GONEN;BERGDICH;YUMLU;FABIANO;LOPES;MURAWSKI;SAGAL;NIYAZ;AISSATI;MESANOVIC;RODALLEGA
Genclerbirligi vs. Ankaragucu - Sunday December 20 - 2020,Ankaragucu,hard,4-1-4-1,FRIEDRICH;TURAN;DIKMEN;SARLIJA;KITSIOU;CANKAYA;CEKICI;AYGOREN;PINTO;LOBJANIDZE;GURAL
Genclerbirligi vs. Ankaragucu - Sunday December 20 - 2020,Genclerbirligi,hard,4-2-3-1,NORDFELDT;POLOMAT;PEHLIVAN;KIZILDAG;ARTAN;PIRIS DA MOTTA;OZDEMIR;YILMAZ;YILDIRIM;CANDEIAS;STANCU
Antalyaspor vs. Kayserispor - Monday December 21 - 2020,Antalyaspor,hard,4-4-2,BOFFIN;KUDRYASHOV;NALDO;SARI;BALCI;AMILTON;FREDY;SAHIN;SAM;JAHOVIC;PODOLSKI
Antalyaspor vs. Kayserispor - Monday December 21 - 2020,Kayserispor,hard,4-2-3-1,ALEMDAR;BEHICH;KOLOVETSIOS;SAPUNARU;LOPES;ATTAMAH;KVRZIC;PEDRO HENRIQUE;FERNANDES;LENNON;ALIBEC
Konyaspor vs. Sivasspor - Monday December 21 - 2020,Konyaspor,hard,5-4-1,SEHIC;GUILHERME;CALIK;DEMIROK;BARDAKCI;SKUBIC;MIYA;GUCTEKIN;HADZIAHMETOVIC;MILOSEVIC;SAHINER
Konyaspor vs. Sivasspor - Monday December 21 - 2020,Sivasspor,hard,4-1-4-1,SAMASSA;CIFTCI;YALCIN;APPINDANGOYE;MARCELO GOIANO;CLAUDEMIR;GRADEL;ARSLAN;FAJR;YESILYURT;KAYODE
Galatasaray vs. Goztepe - Tuesday December 22 - 2020,Galatasaray,easy,4-1-4-1,KOCUK;SARACCHI;DONK;LUYINDAMA;ELABDELLAOUI;ANTALYALI;TURAN;BELHANDA;KILINC;FEGHOULI;DIAGNE
Galatasaray vs. Goztepe - Tuesday December 22 - 2020,Goztepe,hard,4-1-4-1,MEGYERI;EMIR;NUKAN;MIHOJEVIC;GASSAMA;KAYAN;TRIPIC;NWOBODO;AYDOGDU;AKBUNAR;NDIAYE
Hatayspor vs. Trabzonspor - Tuesday December 22 - 2020,Hatayspor,hard,4-2-3-1,EL KAJOUI;KATRANIS;SANTOS;BILLONG;POPOV;RIBEIRO;AABID;BOUPENDZA;TRAORE;AKINTOLA;DIOUF
Hatayspor vs. Trabzonspor - Tuesday December 22 - 2020,Trabzonspor,easy,4-1-4-1,CAKIR;MARLON;VITOR HUGO;IE;ASAN;BAKER;NWAKAEME;FLAVIO;PARMAK;EKUBAN;DJANINY
Alanyaspor vs. Yeni Malatyaspor - Wednesday December 23 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;MOUBANDJE;TZAVELLAS;CAULKER;MORENO;BAKASETAS;SIOPIS;KUTLU;DAVIDSON;BABACAR;KARACA
Alanyaspor vs. Yeni Malatyaspor - Wednesday December 23 - 2020,Yeni Malatyaspor,hard,4-4-2,OZBIR;KARIM HAFEZ;HADEBE;KAYA;CHEBAKE;BUYUK;ACQUAH;NDAYISHIMIYE;SAHAN;BULUT;KANATSIZKUS
Buyuksehir Belediye Erzurumspor vs. Denizlispor - Wednesday December 23 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-1-4-1,ERDOGAN;KANAK;HATIPOGLU;CELIK;UCAR;DONALD;GOMES;OBERTAN;AKDAG;SISSOKO;SADIKU
Buyuksehir Belediye Erzurumspor vs. Denizlispor - Wednesday December 23 - 2020,Denizlispor,hard,4-2-3-1,GONEN;BERGDICH;YUMLU;FABIANO;LOPES;BAKALORZ;AISSATI;SAGAL;NIYAZ;SACKO;RODALLEGA
Fenerbahce vs. Basaksehir - Wednesday December 23 - 2020,Basaksehir,hard,4-1-4-1,BABACAN;KALDIRIM;EPUREANU;SKRTEL;RAFAEL;TEKDEMIR;TURUC;KAHVECI;ALEKSIC;CHADLI;CRIVELLI
Fenerbahce vs. Basaksehir - Wednesday December 23 - 2020,Fenerbahce,easy,4-4-2,BAYINDIR;ERKIN;TISSERAND;AZIZ;SANGARE;NOVAK;YANDAS;LUIZ GUSTAVO;GUMUS;ADEMI;THIAM
Kasimpasa vs. Gaziantep FK - Wednesday December 23 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;VURAL;DJILOBODJI;KANA-BIYIK;TOSCA;CEYLAN;MAXIM;JEFFERSON;MIRALLAS;DICKO;OZER
Kasimpasa vs. Gaziantep FK - Wednesday December 23 - 2020,Kasimpasa,hard,4-2-3-1,TASKIRAN;HADDADI;BRECKA;SERBEST;HADERGJONAJ;SADIKU;KARA;VARGA;HAJRADINOVIC;ERDOGAN;HODZIC
Ankaragucu vs. Besiktas - Thursday December 24 - 2020,Ankaragucu,hard,4-4-2,FRIEDRICH;PINTO;SARLIJA;CANKAYA;KITSIOU;CEKICI;LUKASIK;VOCA;LOBJANIDZE;BØRVEN;GURAL
Ankaragucu vs. Besiktas - Thursday December 24 - 2020,Besiktas,easy,4-1-4-1,DESTANOGLU;N'SAKALA;VIDA;WELINTON;ROSIER;SOUZA;LARIN;MENSAH;HUTCHINSON;GHEZZAL;ABOUBAKAR
Kayserispor vs. Konyaspor - Thursday December 24 - 2020,Kayserispor,hard,4-2-3-1,CIPE;BEHICH;KOLOVETSIOS;SAPUNARU;LOPES;CAMPANHARO;ATTAMAH;KVRZIC;PEDRO HENRIQUE;LENNON;KANGA
Kayserispor vs. Konyaspor - Thursday December 24 - 2020,Konyaspor,hard,4-2-3-1,SEHIC;GUILHERME;BARDAKCI;CALIK;DEMIRBAG;HADZIAHMETOVIC;JEVTOVIC;MILOSEVIC;SHENGELIA;SKUBIC;DACI
Rizespor vs. Antalyaspor - Thursday December 24 - 2020,Antalyaspor,hard,4-2-3-1,BOFFIN;KUDRYASHOV;NALDO;SARI;BALCI;SAHIN;ALBAYRAK;AMILTON;FREDY;SAM;PODOLSKI
Rizespor vs. Antalyaspor - Thursday December 24 - 2020,Rizespor,hard,4-2-3-1,AKKAN;KOYBASI;MERIAH;TALBI;MOROZYUK;FABRICIO BAIANO;PEHLIVAN;ANDRADE;TORUN;MICHALAK;SKODA
Sivasspor vs. Genclerbirligi - Thursday December 24 - 2020,Genclerbirligi,hard,4-2-3-1,NORDFELDT;POLOMAT;PEHLIVAN;KIZILDAG;ARTAN;OZDEMIR;YILDIRIM;YILMAZ;CANDEIAS;SIO;STANCU
Sivasspor vs. Genclerbirligi - Thursday December 24 - 2020,Sivasspor,hard,4-1-4-1,SAMASSA;CIFTCI;YALCIN;APPINDANGOYE;MARCELO GOIANO;CLAUDEMIR;GRADEL;ARSLAN;FAJR;YESILYURT;KAYODE
Goztepe vs. Fatih Karagumruk - Saturday December 26 - 2020,Fatih Karagumruk,hard,4-2-3-1,VIVIANO;ERDEM;BALKOVEC;KURUCUK;CIVELEK;BIGLIA;NDIAYE;DURMAZ;CHAHECHOUHE;NDAO;ERDINC
Goztepe vs. Fatih Karagumruk - Saturday December 26 - 2020,Goztepe,hard,4-2-3-1,MEGYERI;EMIR;NUKAN;MIHOJEVIC;PALULI;NWOBODO;AYDOGDU;NDIAYE;MARCIO MOSSORO;AKBUNAR;NAPOLEONI
Trabzonspor vs. Galatasaray - Saturday December 26 - 2020,Galatasaray,easy,4-1-4-1,KOCUK;SARACCHI;MARCAO;DONK;ELABDELLAOUI;ANTALYALI;TURAN;FEGHOULI;BELHANDA;KILINC;CAGLAYAN
Trabzonspor vs. Galatasaray - Saturday December 26 - 2020,Trabzonspor,easy,4-2-3-1,CAKIR;MARLON;VITOR HUGO;IE;ASAN;BAKER;PARMAK;NWAKAEME;FLAVIO;SARI;DJANINY
Basaksehir vs. Kasimpasa - Sunday December 27 - 2020,Basaksehir,hard,4-3-3,BABACAN;SERTEL;EPUREANU;SKRTEL;RAFAEL;GIULIANO;TEKDEMIR;ALEKSIC;CHADLI;GULBRANDSEN;VISCA
Basaksehir vs. Kasimpasa - Sunday December 27 - 2020,Kasimpasa,hard,4-2-3-1,TASKIRAN;HADDADI;BRECKA;SADIKU;HADERGJONAJ;TIRPAN;KARA;KOC;HAJRADINOVIC;ERDOGAN;HODZIC
Denizlispor vs. Ankaragucu - Sunday December 27 - 2020,Ankaragucu,hard,4-2-3-1,FRIEDRICH;PINTO;SARLIJA;CANKAYA;KITSIOU;VOCA;LUKASIK;PAINTSIL;CEKICI;LOBJANIDZE;BOLINGI
Denizlispor vs. Ankaragucu - Sunday December 27 - 2020,Denizlispor,hard,4-2-3-1,ALTINTAS;BERGDICH;YUMLU;FABIANO;LOPES;BAKALORZ;MURAWSKI;AISSATI;VARELA;OZDEMIR;RODALLEGA
Gaziantep FK vs. Alanyaspor - Sunday December 27 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;MOUBANDJE;TZAVELLAS;CAULKER;MORENO;UCAN;SIOPIS;KUTLU;DAVIDSON;BABACAR;KARACA
Gaziantep FK vs. Alanyaspor - Sunday December 27 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;VURAL;DJILOBODJI;KANA-BIYIK;TOSCA;OLKOWSKI;MAXIM;VETRIH;MIRALLAS;DEMIR;DICKO
Yeni Malatyaspor vs. Buyuksehir Belediye Erzurumspor - Sunday December 27 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-2-3-1,ERDOGAN;SCHWECHLEN;HATIPOGLU;TEIKEU;ALKILIC;CELIK;DONALD;NOVIKOVAS;OBERTAN;BASSAN;GOMES
Yeni Malatyaspor vs. Buyuksehir Belediye Erzurumspor - Sunday December 27 - 2020,Yeni Malatyaspor,hard,4-4-2,OZBIR;KARIM HAFEZ;HADEBE;KAYA;CHEBAKE;BUYUK;ACQUAH;NDAYISHIMIYE;BULUT;TETTEH;KANATSIZKUS
Besiktas vs. Sivasspor - Monday December 28 - 2020,Besiktas,easy,4-1-4-1,DESTANOGLU;YILMAZ;VIDA;WELINTON;ROSIER;UYSAL;N'KOUDOU;MENSAH;HUTCHINSON;GHEZZAL;YALCIN
Besiktas vs. Sivasspor - Monday December 28 - 2020,Sivasspor,hard,4-1-4-1,SAMASSA;CIFTCI;OSMANPASA;APPINDANGOYE;MARCELO GOIANO;YALCIN;GRADEL;ARSLAN;FAJR;YESILYURT;YATABARE
Genclerbirligi vs. Kayserispor - Monday December 28 - 2020,Genclerbirligi,hard,4-2-3-1,NORDFELDT;CECENOGLU;TOURE;KIZILDAG;ARTAN;PIRIS DA MOTTA;OZDEMIR;AYITE;YILDIRIM;CANDEIAS;SIO
Genclerbirligi vs. Kayserispor - Monday December 28 - 2020,Kayserispor,hard,4-2-3-1,CIPE;BEHICH;SAPUNARU;CAPAR;KVRZIC;CAMPANHARO;ACKAH;PEDRO HENRIQUE;DEMIR;MANZALA;KANGA
Konyaspor vs. Rizespor - Monday December 28 - 2020,Konyaspor,hard,4-1-4-1,SEHIC;GUILHERME;BARDAKCI;CALIK;DEMIRBAG;JEVTOVIC;SHENGELIA;HADZIAHMETOVIC;GUCTEKIN;SKUBIC;DACI
Konyaspor vs. Rizespor - Monday December 28 - 2020,Rizespor,hard,4-2-3-1,AKKAN;KOYBASI;MERIAH;TALBI;MOROZYUK;PEHLIVAN;FABRICIO BAIANO;ANDRADE;TORUN;SAMUDIO;SKODA
Antalyaspor vs. Hatayspor - Tuesday December 29 - 2020,Antalyaspor,hard,4-4-2,BOFFIN;KUDRYASHOV;GULUM;NALDO;YILMAZ;FREDY;OZMERT;SAHIN;SAM;ORGILL;PODOLSKI
Antalyaspor vs. Hatayspor - Tuesday December 29 - 2020,Hatayspor,hard,4-2-3-1,EL KAJOUI;KATRANIS;SANTOS;BILLONG;POPOV;RIBEIRO;AABID;BOUPENDZA;TRAORE;AKINTOLA;DIOUF
Alanyaspor vs. Basaksehir - Saturday January 2 - 2021,Alanyaspor,hard,4-3-3,MARAFONA;MOUBANDJE;TZAVELLAS;CAULKER;MORENO;BAKASETAS;SIOPIS;KUTLU;DAVIDSON;BAREIRO;KARACA
Alanyaspor vs. Basaksehir - Saturday January 2 - 2021,Basaksehir,hard,4-1-4-1,BABACAN;SERTEL;EPUREANU;PONCK;RAFAEL;AZUBUIKE;TURUC;TEKDEMIR;KAHVECI;VISCA;CRIVELLI
Ankaragucu vs. Yeni Malatyaspor - Saturday January 2 - 2021,Ankaragucu,hard,4-1-4-1,FRIEDRICH;TURAN;SARLIJA;CANKAYA;KITSIOU;VOCA;PAINTSIL;LUKASIK;CEKICI;LOBJANIDZE;BOLINGI
Ankaragucu vs. Yeni Malatyaspor - Saturday January 2 - 2021,Yeni Malatyaspor,hard,4-4-2,OZBIR;KARIM HAFEZ;KAYA;WALLACE;YAVRU;FOFANA;ILDIZ;NDAYISHIMIYE;SAHAN;BULUT;KANATSIZKUS
Buyuksehir Belediye Erzurumspor vs. Gaziantep FK - Saturday January 2 - 2021,Buyuksehir Belediye Erzurumspor,hard,4-2-3-1,FARNOLLE;KANAK;TEIKEU;SCHWECHLEN;ALKILIC;CELIK;DONALD;NOVIKOVAS;OBERTAN;BASSAN;GOMES
Buyuksehir Belediye Erzurumspor vs. Gaziantep FK - Saturday January 2 - 2021,Gaziantep FK,hard,5-3-2,GUVENC;OLKOWSKI;KANA-BIYIK;TOSCA;DJILOBODJI;CEYLAN;MIRALLAS;VETRIH;VURAL;DICKO;DEMIR
Galatasaray vs. Antalyaspor - Saturday January 2 - 2021,Antalyaspor,hard,4-2-3-1,BOFFIN;KUDRYASHOV;NALDO;SARI;BALCI;OZMERT;SAHIN;AMILTON;FREDY;BAYRAKDAR;ORGILL
Galatasaray vs. Antalyaspor - Saturday January 2 - 2021,Galatasaray,easy,4-1-4-1,KOCUK;SARACCHI;MARCAO;LUYINDAMA;LINNES;DONK;TURAN;BELHANDA;BAYRAM;KILINC;CAGLAYAN
Hatayspor vs. Konyaspor - Saturday January 2 - 2021,Hatayspor,hard,4-2-3-1,EL KAJOUI;KATRANIS;SANTOS;BILLONG;POPOV;RIBEIRO;AABID;BOUPENDZA;TRAORE;AKINTOLA;DIOUF
Hatayspor vs. Konyaspor - Saturday January 2 - 2021,Konyaspor,hard,4-4-2,SEHIC;GUILHERME;BARDAKCI;CALIK;SKUBIC;DACI;HADZIAHMETOVIC;JEVTOVIC;SHENGELIA;CIKALLESHI;KRAVETS
Sivasspor vs. Denizlispor - Saturday January 2 - 2021,Denizlispor,hard,4-2-3-1,PANTILIMON;BERGDICH;YUMLU;FABIANO;LOPES;MURAWSKI;BAKALORZ;SAGAL;NIYAZ;MESANOVIC;RODALLEGA
Sivasspor vs. Denizlispor - Saturday January 2 - 2021,Sivasspor,hard,4-1-4-1,VURAL;CIFTCI;OSMANPASA;APPINDANGOYE;MARCELO GOIANO;YALCIN;GRADEL;FAJR;CLAUDEMIR;YESILYURT;YATABARE
Fatih Karagumruk vs. Trabzonspor - Sunday January 3 - 2021,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BALKOVEC;ROCO;KURUCUK;CIVELEK;BIGLIA;ERDEM;NDIAYE;ALTINAY;DURMAZ;SOBIECH
Fatih Karagumruk vs. Trabzonspor - Sunday January 3 - 2021,Trabzonspor,easy,4-2-3-1,CAKIR;MARLON;HOSSEINI;IE;ASAN;BAKER;PARMAK;NWAKAEME;FLAVIO;EKUBAN;DJANINY
Kayserispor vs. Besiktas - Sunday January 3 - 2021,Besiktas,easy,4-1-4-1,DESTANOGLU;N'SAKALA;VIDA;WELINTON;ROSIER;SOUZA;N'KOUDOU;MENSAH;HUTCHINSON;LARIN;YALCIN
Kayserispor vs. Besiktas - Sunday January 3 - 2021,Kayserispor,hard,4-2-3-1,ALEMDAR;BEHICH;KOLOVETSIOS;SAPUNARU;LOPES;CAMPANHARO;ACKAH;PEDRO HENRIQUE;KVRZIC;LENNON;KANGA
Rizespor vs. Genclerbirligi - Sunday January 3 - 2021,Genclerbirligi,hard,4-1-4-1,NORDFELDT;POLOMAT;DIEGO ANGELO;TOURE;KIZILDAG;PIRIS DA MOTTA;YILMAZ;DIKMEN;FURMAN;CANDEIAS;SIO
Rizespor vs. Genclerbirligi - Sunday January 3 - 2021,Rizespor,hard,4-2-3-1,AKKAN;KOYBASI;TALBI;MERIAH;MOROZYUK;FABRICIO BAIANO;DONSAH;ANDRADE;TORUN;SAMUDIO;SKODA
Kasimpasa vs. Fenerbahce - Monday January 4 - 2021,Fenerbahce,easy,4-2-3-1,BAYINDIR;CIFTPINAR;LUIZ GUSTAVO;TISSERAND;SANGARE;TUFAN;YANDAS;GUMUS;PELKAS;VALENCIA;THIAM
Kasimpasa vs. Fenerbahce - Monday January 4 - 2021,Kasimpasa,hard,4-2-3-1,KOSE;HADDADI;BRECKA;TIRPAN;HADERGJONAJ;SADIKU;HASPOLAT;KOC;CARIUS;ERDOGAN;HODZIC
Gaziantep FK vs. Ankaragucu - Tuesday January 5 - 2021,Ankaragucu,hard,4-2-3-1,FRIEDRICH;TURAN;DIKMEN;SARLIJA;CANKAYA;LUKASIK;VOCA;PAINTSIL;CEKICI;LOBJANIDZE;BOLINGI
Gaziantep FK vs. Ankaragucu - Tuesday January 5 - 2021,Gaziantep FK,hard,5-3-2,GUVENC;JUNIOR MORAIS;KANA-BIYIK;TOSCA;DJILOBODJI;CEYLAN;MAXIM;JEFFERSON;KOZULJ;DEMIR;OZER
Konyaspor vs. Galatasaray - Tuesday January 5 - 2021,Galatasaray,easy,4-1-4-1,KOCUK;SARACCHI;DONK;LUYINDAMA;LINNES;ANTALYALI;AKBABA;BELHANDA;BAYRAM;CAGLAYAN;DIAGNE
Konyaspor vs. Galatasaray - Tuesday January 5 - 2021,Konyaspor,hard,4-2-3-1,SEHIC;GUILHERME;BARDAKCI;CALIK;SKUBIC;GUCTEKIN;JEVTOVIC;CIKALLESHI;MILOSEVIC;SHENGELIA;DACI
Yeni Malatyaspor vs. Sivasspor - Tuesday January 5 - 2021,Sivasspor,hard,4-1-4-1,VURAL;CIFTCI;OSMANPASA;APPINDANGOYE;YALCIN;CLAUDEMIR;GRADEL;ARSLAN;FAJR;YESILYURT;YATABARE
Yeni Malatyaspor vs. Sivasspor - Tuesday January 5 - 2021,Yeni Malatyaspor,hard,4-4-2,OZBIR;CEVAHIR;KAYA;WALLACE;CHEBAKE;FOFANA;ACQUAH;ILDIZ;BUYUK;TETTEH;TOPALLI
Antalyaspor vs. Fatih Karagumruk - Wednesday January 6 - 2021,Antalyaspor,hard,4-2-3-1,BOFFIN;KUDRYASHOV;NALDO;SARI;BALCI;OZMERT;SAHIN;AMILTON;SINIK;BAYRAKDAR;ORGILL
