game,team,difficulty,formation,lineup,lineup_numbers
Konyaspor vs. Galatasaray - Sunday March 1 - 2009,Konyaspor,hard,4-2-3-1,JEFFERSON;KOCAK;MIHAJLOV;GUNDOSTU;KRATOCHVIL;DEMIR;ABDELAZIZ;BOLUKBASI;HASPOLATLI;POLJAC;CIHAN,33;77;32;4;27;42;12;15;20;22;50
Galatasaray vs. Bursaspor - Friday March 6 - 2009,Bursaspor,hard,4-4-2,IVANKOV;BEKIROGLU;ERDOGAN;OZTURK;TANDOGAN;SEN;HAS;SARP;ACAR;TADEU;YILDIRIM,27;18;4;38;21;10;6;16;20;29;9
Galatasaray vs. Bursaspor - Friday March 6 - 2009,Galatasaray,easy,4-2-3-1,DE SANCTIS;BALTA;ASIK;MEIRA;KURTULUS;OZBEK;AKMAN;KEWELL;LINCOLN;YILMAZ;BAROS,26;22;21;5;23;8;18;19;10;7;15
Buyuksehir Belediyespor vs. Denizlispor - Saturday March 7 - 2009,Buyuksehir Belediyespor,hard,4-2-3-1,ZULALOGLU;SUZEN;TEKDEMIR;MARCUS VINICIUS;KUS;TJIKUZU;INANC;AKIN;KILIC;ZENGIN;ADRIANO,14;81;21;22;2;8;6;11;35;15;19
Buyuksehir Belediyespor vs. Denizlispor - Saturday March 7 - 2009,Denizlispor,hard,4-5-1,ONGUN;CARLOS ALBERTO;AKYILDIZ;BERBEROVIC;YILMAZER;VURAL;YIGEN;DANIEL BRAGA;ALADAG;ASKAROGLU;ANGELOV,41;3;5;33;23;22;45;72;24;43;71
Gaziantepspor vs. Antalyaspor - Saturday March 7 - 2009,Antalyaspor,hard,4-4-2,CATKIC;CAN;ISIK;AYHAN;KAVUK;CEYLAN;ARSLAN;AGCAY;ZITOUNI;DJIEHOUA;TITA,1;3;19;2;67;81;58;15;11;29;86
Gaziantepspor vs. Antalyaspor - Saturday March 7 - 2009,Gaziantepspor,hard,4-2-3-1,SAHIN;KOYBASI;DEUMI;IRTEGUN;SEKMAN;CEYLAN;ZURITA;COSKUN;OZGUR;ARI;BETO,1;3;12;4;6;5;8;21;19;72;25
Hacettepe Spor vs. Besiktas - Saturday March 7 - 2009,Besiktas,easy,4-4-2,ARIKAN;UZULMEZ;SIVOK;ZAPOTOCNY;TORAMAN;TELLO;ERNST;DELGADO;DAG;NOBRE;BOBO,84;19;6;26;58;14;28;10;17;11;13
Hacettepe Spor vs. Besiktas - Saturday March 7 - 2009,Hacettepe Spor,hard,4-4-2,BILER;KALKAN;BOZKURT;KULUSIC;SAM;SAHIN;BEKMEZCI;TOZO;GUNGOR;TAMBWE;ZOKO,14;69;5;24;67;26;20;19;6;60;99
Trabzonspor vs. Konyaspor - Saturday March 7 - 2009,Konyaspor,hard,4-4-2,BAHADIR;KOCAK;GUNDOSTU;KRATOCHVIL;MIHAJLOV;BOLUKBASI;DEMIR;ABDELAZIZ;HASPOLATLI;CIHAN;AKIN,61;77;4;27;32;15;42;12;20;50;10
Trabzonspor vs. Konyaspor - Saturday March 7 - 2009,Trabzonspor,easy,4-3-3,SYLVA;KORKMAZ;KACAR;SONG;CORA;INAN;CIMSIR;COLMAN;BULUT;UNAL;YATTARA,1;16;23;4;18;8;5;20;10;9;11
Genclerbirligi vs. Ankaragucu - Sunday March 8 - 2009,Ankaragucu,hard,4-4-2,KIRINTILI;SUME;BOUZID;LUIZ HENRIQUE;OZSARAC;DURUER;ERDOGAN;OZGUR;BAYER;DE NIGRIS;JABA,1;3;15;13;2;11;20;18;30;12;9
Genclerbirligi vs. Ankaragucu - Sunday March 8 - 2009,Genclerbirligi,hard,4-4-2,ISAILOVIC;MOMHA;EKER;ADDO;ASLANTAS;CUBUKCU;JEDINAK;AYDOGDU;TROISI;PEKTEMEK;KAHE,30;18;20;24;25;17;23;91;8;11;9
Kayserispor vs. Fenerbahce - Sunday March 8 - 2009,Fenerbahce,easy,4-5-1,DEMIREL;ROBERTO CARLOS;LUGANO;EDU DRACENA;GONUL;BORAL;BARIS;ALEX;BELOZOGLU;DEIVID;SENTURK,1;3;2;4;77;25;24;10;5;99;23
Kayserispor vs. Fenerbahce - Sunday March 8 - 2009,Kayserispor,hard,4-4-2,HAMIDOU;TOLEDO;GUNGOR;TOSCALI;TURAN;BOYRAZ;SAIDOU;OZCAL;TOPUZ;AGHAHOWA;CANGELE,16;12;35;25;5;67;7;90;66;17;10
Kocaelispor vs. Eskisehirspor - Sunday March 8 - 2009,Eskisehirspor,hard,4-4-2,IVESA;ONUR;EL SAKA;VUCKO;COSKUN;KOCABEY;TORAMAN;ERTUGRUL;ARSLAN;KARADENIZ;YOULA,1;46;4;27;75;21;23;55;51;8;11
Kocaelispor vs. Eskisehirspor - Sunday March 8 - 2009,Kocaelispor,hard,4-4-2,KOPUZ;TEBER;OZDIN;SADYQOV;ROSS;HACIOGLU;NSUMBU;KARTOP;CALIK;GULLERI;AKEEM AGBETU,14;63;91;1;35;30;13;2;9;19;80
Sivasspor vs. Ankaraspor - Sunday March 8 - 2009,Ankaraspor,hard,4-4-2,SENECKY;DEMIRKOL;BAHTIYAROGLU;YOLDAS;GUVEN;KISA;GUCER;KOCAK;TOSUN;CAKIR;KONATE,1;37;5;4;44;19;50;66;7;11;82
Sivasspor vs. Ankaraspor - Sunday March 8 - 2009,Sivasspor,hard,4-4-2,PETKOVIC;DERELI;BAYRAK;FABIO BILICA;SOZGELMEZ;KAMANAN;SYLLA;MOHAMED ALI;AYDIN;YILDIZ;TUM,1;61;27;3;5;14;8;20;7;9;54
Fenerbahce vs. Kocaelispor - Friday March 13 - 2009,Fenerbahce,easy,4-5-1,BABACAN;ROBERTO CARLOS;LUGANO;EDU DRACENA;GONUL;BORAL;BARIS;ALEX;SAHIN;KAZIM-RICHARDS;SENTURK,88;3;2;4;77;25;24;10;21;8;23
Fenerbahce vs. Kocaelispor - Friday March 13 - 2009,Kocaelispor,hard,4-4-2,KOPUZ;TEBER;OZDIN;SADYQOV;ROSS;HACIOGLU;NSUMBU;KARTOP;CALIK;GULLERI;AKEEM AGBETU,14;63;91;1;35;30;13;2;9;19;80
Ankaragucu vs. Sivasspor - Saturday March 14 - 2009,Ankaragucu,hard,4-4-2,KIRINTILI;SUME;LUIZ HENRIQUE;OZSARAC;BAYER;DURUER;SERAS;BARUT;OZGUR;DE NIGRIS;JABA,1;3;13;2;30;11;34;23;18;12;9
