game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_yellow_cards,lineup_red_cards,lineup_substitutions,source_match_id
Galatasaray vs. Fenerbahce - Saturday September 28 - 2019,Fenerbahce,easy,4-2-3-1,BAYINDIR;DIRAR;ZANKA;JAILSON;ISLA;LUIZ GUSTAVO;BELOZOGLU;CIGERCI;KRUSE;TUFAN;MURIQI,98;17;32;25;4;20;5;14;10;7;94,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;0;1;0;0;0,3223066
Galatasaray vs. Fenerbahce - Saturday September 28 - 2019,Galatasaray,easy,4-3-3,MUSLERA;NAGATOMO;MARCAO;LUYINDAMA;MARIANO;BELHANDA;NZONZI;LEMINA;BABEL;FALCAO;FEGHOULI,1;55;45;27;22;10;92;99;11;9;89,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;1;0;0;0;0;0;0,0;0;1;0;1;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,3223066
Ankaragucu vs. Genclerbirligi - Sunday September 29 - 2019,Ankaragucu,hard,4-3-3,CELIKAY;PINTO;KULUSIC;PAZDAN;KITSIOU;FATY;MOKE;AGCAY;PARLAK;ORGILL;KAYA,1;8;13;22;70;14;21;3;23;12;28,1;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;0;1,3223061
Ankaragucu vs. Genclerbirligi - Sunday September 29 - 2019,Genclerbirligi,hard,4-2-3-1,OZBIR;POLOMAT;RAMOS;TOURE;OGUZ;FABRICIO BAIANO;OZDEMIR;AYITE;SESSEGNON;CANDEIAS;SIO,25;39;32;15;2;8;5;11;10;21;13,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;0;1,0;0;0;1;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;1;1;0;0;0,3223061
Antalyaspor vs. Yeni Malatyaspor - Sunday September 29 - 2019,Antalyaspor,hard,4-3-3,BOFFIN;CELUSTKA;DIEGO ANGELO;OZTURK;SANGARE;OZMERT;CHARLES;AKYOL;CHAHECHOUHE;GUSTAVO BLANCO LESCHUK;AMILTON,25;28;3;5;30;88;8;19;92;9;23,0;0;0;0;0;1;0;1;1;0;0,0;0;1;0;0;0;0;0;0;1;0,0;0;0;0;0;0;1;1;0;0;0,0;0;0;0;0;0;1;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,3223060
Antalyaspor vs. Yeni Malatyaspor - Sunday September 29 - 2019,Yeni Malatyaspor,hard,4-2-3-1,FARNOLLE;AYTAC;AKBAS;YALCIN;CHEBAKE;CHAALALI;ACQUAH;FOFANA;DONALD;GUILHERME;JAHOVIC,30;91;15;6;29;25;19;21;20;66;18,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;1;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0,0;1;0;0;0;1;0;0;1;0;0,3223060
Konyaspor vs. Kayserispor - Sunday September 29 - 2019,Kayserispor,hard,4-4-2,SILVIU LUNG JR;SUBASI;ABDENNOUR;POULAIN;LOPES;PEDRO HENRIQUE;RIENSTRA;MENSAH;BULUT;ADEBAYOR;BASACIKOGLU,33;32;5;6;13;10;38;43;9;4;7,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;1,1;0;0;0;1;2;0;2;0;0;1,1;0;0;0;1;1;0;1;0;0;1,0;0;0;0;0;1;0;1;0;0;0,0;1;1;0;0;0;0;0;0;1;0,3223064
Konyaspor vs. Kayserispor - Sunday September 29 - 2019,Konyaspor,hard,4-4-2,KIRINTILI;ULUDAG;ANICIC;TURAN;SKUBIC;MILOSEVIC;JONSSON;JEVTOVIC;SHENGELIA;SAHINER;BAJIC,1;25;14;4;89;11;6;8;19;7;10,0;0;0;0;0;1;0;1;1;0;0,0;0;0;0;1;0;0;0;0;0;0,0;1;1;0;1;0;0;0;0;1;0,0;1;1;0;1;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;1;0;0;0;0;0;0;1,3223064
Trabzonspor vs. Besiktas - Sunday September 29 - 2019,Besiktas,easy,4-2-3-1,KARIUS;ERKIN;VIDA;UYSAL;GONUL;HUTCHINSON;TOKOZ;N'KOUDOU;OZYAKUP;BOYD;YILMAZ,1;88;24;20;77;13;26;19;10;11;17,0;0;0;0;0;0;1;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;1;1;0;1;0;0;0;0,0;0;0;1;1;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;1;0,3223063
Trabzonspor vs. Besiktas - Sunday September 29 - 2019,Trabzonspor,easy,4-2-3-1,CAKIR;NOVAK;HOSSEINI;TURKMEN;PEREIRA;MIKEL;PARMAK;NWAKAEME;SOSA;COREKCI;SØRLOTH,1;77;5;4;47;12;61;9;8;2;11,0;0;0;0;0;0;0;1;1;0;1,1;0;0;0;0;0;1;1;0;0;0,1;1;1;1;0;1;1;0;0;0;0,1;1;1;1;0;1;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;0;1;1,3223063
