game,team,difficulty,formation,lineup
Genclerbirligi vs. Gaziantepspor - Sunday November 29 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;MARCAL;AROKOYO;SUME;YARDIMCI;LARSSON;SEN;KAYALI;DURAK;DEMIR;CHIBUIKE
Genclerbirligi vs. Gaziantepspor - Sunday November 29 - 2015,Genclerbirligi,hard,4-2-3-1,HOPF;CIFTCI;CALIK;KULUSIC;OGUZ;SPELMANN;KAYA;STANCU;LANDEL;DJALMA;EL KABIR
Kasimpasa vs. Galatasaray - Sunday November 29 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;BALTA;CHEDJOU;KAYA;SARIOGLU;INAN;COLAK;OZTEKIN;SNEIJDER;PODOLSKI;YILMAZ
Kasimpasa vs. Galatasaray - Sunday November 29 - 2015,Kasimpasa,hard,4-2-3-1,KOSE;VEIGNEAU;TITI;OMERUO;KARTAL;DONK;CASTRO;BUYUK;ARSLAN;TORUN;DERDIYOK
Fenerbahce vs. Trabzonspor - Monday November 30 - 2015,Fenerbahce,easy,4-2-3-1,DEMIREL;KALDIRIM;ALVES;KJAER;GONUL;TOPAL;SOUZA;POTUK;DIEGO;NANI;VAN PERSIE
Fenerbahce vs. Trabzonspor - Monday November 30 - 2015,Trabzonspor,easy,4-2-3-1,KIVRAK;ULUDAG;DEMIR;YUMLU;CAVANDA;MBIA;YOKUSLU;ZENGIN;EKICI;HURMACI;N'DOYE
Galatasaray vs. Bursaspor - Friday December 4 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;BEHICH;AZIZ;NOUNKEU;OZGENC;YILMAZ;TRAORE;TASDEMIR;JOSUE;DZSUDZSAK;NECID
Galatasaray vs. Bursaspor - Friday December 4 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;BALTA;CHEDJOU;KAYA;SARIOGLU;RODRIGUEZ;INAN;OZTEKIN;SNEIJDER;PODOLSKI;YILMAZ
Kayserispor vs. Besiktas - Saturday December 5 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;KOYBASI;TOSIC;RHODOLFO;BECK;UYSAL;HUTCHINSON;SAHAN;SOSA;TORE;GOMEZ
Kayserispor vs. Besiktas - Saturday December 5 - 2015,Kayserispor,hard,4-2-3-1,ERDOGAN;BAYRAM;AKBAS;MABIALA;YAVRU;SOW;OZCAL;CAGLAYAN;BISESWAR;TURUC;DERLEY
Konyaspor vs. Antalyaspor - Saturday December 5 - 2015,Antalyaspor,hard,4-3-3,FORNEZZI;AYTAC;DIEGO ANGELO;CELUSTKA;SIMSEK;BADUR;CHICO;YILDIRIM;LAZAREVIC;ETO'O;BASSAN
Konyaspor vs. Antalyaspor - Saturday December 5 - 2015,Konyaspor,hard,4-4-2,KIRINTILI;BARDAKCI;VUKOVIC;TURAN;SAHINER;MEHA;CAMDALI;HOLMEN;MARC KIBONG MBAMBA;RANGELOV;BAJIC
Osmanlispor Fk vs. Kasimpasa - Saturday December 5 - 2015,Kasimpasa,hard,4-2-3-1,KOSE;VEIGNEAU;TITI;OMERUO;SARI;DONK;CASTRO;BUYUK;SCARIONE;TORUN;DERDIYOK
Osmanlispor Fk vs. Kasimpasa - Saturday December 5 - 2015,Osmanlispor Fk,hard,4-2-3-1,SAHIN;OZER;CURUKSU;DEMIROK;VRSAJEVIC;GUVEN;CAGIRAN;TORJE;NDIAYE;UMAR;DELIKTAS
Basaksehir vs. Genclerbirligi - Sunday December 6 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;UCAR;BADJI;TEKDEMIR;DOKA MADUREIRA;MARCIO MOSSORO;VISCA;CIKALLESHI
Basaksehir vs. Genclerbirligi - Sunday December 6 - 2015,Genclerbirligi,hard,4-2-3-1,HOPF;CIFTCI;CALIK;KULUSIC;OGUZ;SKULASON;SPELMANN;STANCU;LANDEL;DJALMA;EL KABIR
Gaziantepspor vs. Fenerbahce - Sunday December 6 - 2015,Fenerbahce,easy,4-2-3-1,DEMIREL;KALDIRIM;ALVES;KJAER;GONUL;SOUZA;TOPAL;POTUK;DIEGO;NANI;FERNANDAO
Gaziantepspor vs. Fenerbahce - Sunday December 6 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;MARCAL;AROKOYO;SUME;YARDIMCI;LARSSON;SEN;DURAK;CAMARA;DEMIR;CHIBUIKE
Mersin Idmanyurdu vs. Rizespor - Sunday December 6 - 2015,Mersin Idmanyurdu,hard,4-2-3-1,YILDIRIM;WEDERSON;CETIN;SADIKU;VAROL;BALCI;KHALILI;NAKOULMA;DELIBALTA;PEDRIEL;WELLITON
Mersin Idmanyurdu vs. Rizespor - Sunday December 6 - 2015,Rizespor,hard,4-4-2,ITANDJE;DURUER;ERSOY;OBOABONA;OVACIKLI;TUSZYNSKI;ALTINAY;MAKIADI;AKYUZ;KWEUKE;KADAH
Akhisar Belediyespor vs. Sivasspor - Monday December 7 - 2015,Akhisar Belediyespor,hard,4-3-3,LUKAC;KELES;DOUGLAO;OSMANPASA;CEBE;CUSTODIO;YUCE;N'GUEMO;SAMI;RODALLEGA;VURAL
Akhisar Belediyespor vs. Sivasspor - Monday December 7 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;ERDAL;BOYE;OZTURK;CICINHO;KONE;KOCAK;KAS;CHAHECHOUHE;ESER;SIMSEK
Trabzonspor vs. Eskisehirspor - Monday December 7 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;KARAER;COSKUN;GUNGOR;TOKO;COREKCI;OZTURK;BEKDEMIR;CAUSIC;YILDIRIM;GURAL
Trabzonspor vs. Eskisehirspor - Monday December 7 - 2015,Trabzonspor,easy,4-2-3-1,KIVRAK;DEMIR;DOUGLAS;YUMLU;CAVANDA;KARA;YOKUSLU;ERDOGAN;EKICI;MBIA;CARDOZO
Bursaspor vs. Osmanlispor Fk - Friday December 11 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;BEHICH;AZIZ;NOUNKEU;ADVINCULA;YILMAZ;TRAORE;TASDEMIR;JOSUE;DZSUDZSAK;DE SUTTER
Bursaspor vs. Osmanlispor Fk - Friday December 11 - 2015,Osmanlispor Fk,hard,4-2-3-1,SAHIN;OZER;CURUKSU;DEMIROK;VRSAJEVIC;GUVEN;CAGIRAN;TORJE;NDIAYE;UMAR;RUSESCU
Antalyaspor vs. Mersin Idmanyurdu - Saturday December 12 - 2015,Antalyaspor,hard,4-3-3,FORNEZZI;AYTAC;GOR;CELUSTKA;SIMSEK;BADUR;CHICO;MAKOUN;AKBABA;ETO'O;GUILHERME
Antalyaspor vs. Mersin Idmanyurdu - Saturday December 12 - 2015,Mersin Idmanyurdu,hard,4-2-3-1,YILDIRIM;WEDERSON;MITROVIC;CETIN;VAROL;SADIKU;BALCI;NAKOULMA;DELIBALTA;PEDRIEL;WELLITON
Eskisehirspor vs. Gaziantepspor - Saturday December 12 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;CEK;COSKUN;PARLAK;COREKCI;OZTURK;LAWAL;BEKDEMIR;CAUSIC;GURAL;PINTO
Eskisehirspor vs. Gaziantepspor - Saturday December 12 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;MARCAL;AROKOYO;SUME;YARDIMCI;CAMARA;SEN;DURAK;CINAR;DEMIR;CHIBUIKE
Kasimpasa vs. Konyaspor - Saturday December 12 - 2015,Kasimpasa,hard,4-2-3-1,KOSE;VEIGNEAU;TITI;BOZHIKOV;SARI;DONK;CASTRO;BUYUK;SCARIONE;TORUN;DERDIYOK
Kasimpasa vs. Konyaspor - Saturday December 12 - 2015,Konyaspor,hard,4-4-2,KIRINTILI;BARDAKCI;VUKOVIC;AY;SAHINER;MARC KIBONG MBAMBA;FINDIKLI;HOLMEN;TRAORE;RANGELOV;BAJIC
Rizespor vs. Trabzonspor - Saturday December 12 - 2015,Rizespor,hard,4-4-2,ITANDJE;DURUER;ERSOY;OBOABONA;OVACIKLI;OZEK;ALTINAY;YALCIN;KAYA;KWEUKE;KADAH
Rizespor vs. Trabzonspor - Saturday December 12 - 2015,Trabzonspor,easy,4-2-3-1,KIVRAK;ULUDAG;DOUGLAS;YUMLU;DURSUN;KARA;MBIA;ERDOGAN;EKICI;HURMACI;CARDOZO
Fenerbahce vs. Basaksehir - Sunday December 13 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;TEKDEMIR;AYHAN;UCAR;BADJI;BELOZOGLU;DOKA MADUREIRA;MARCIO MOSSORO;VISCA;BATDAL
Fenerbahce vs. Basaksehir - Sunday December 13 - 2015,Fenerbahce,easy,4-2-3-1,DEMIREL;ERKIN;ALVES;KJAER;GONUL;SOUZA;TOPAL;POTUK;TUFAN;NANI;FERNANDAO
Genclerbirligi vs. Sivasspor - Sunday December 13 - 2015,Genclerbirligi,hard,4-2-3-1,HOPF;CIFTCI;CALIK;KULUSIC;SKULASON;SPELMANN;KAYA;STANCU;KAHVECI;DJALMA;EL KABIR
Genclerbirligi vs. Sivasspor - Sunday December 13 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;KAS;BOYE;OZTURK;CICINHO;INCEDEMIR;KONE;SIMSEK;CHAHECHOUHE;ESER;ENERAMO
Kayserispor vs. Akhisar Belediyespor - Sunday December 13 - 2015,Akhisar Belediyespor,hard,4-3-3,LUKAC;KELES;DOUGLAO;OSMANPASA;CEBE;CUSTODIO;YUCE;N'GUEMO;SAMI;RODALLEGA;VURAL
Kayserispor vs. Akhisar Belediyespor - Sunday December 13 - 2015,Kayserispor,hard,4-2-3-1,ERDOGAN;BAYRAM;AKBAS;MABIALA;YAVRU;SOW;OZCAL;BISESWAR;LOPES;TURUC;DERLEY
Besiktas vs. Galatasaray - Monday December 14 - 2015,Besiktas,easy,4-2-3-1,GUVENC;KOYBASI;GULUM;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;QUARESMA;SOSA;SAHAN;GOMEZ
Besiktas vs. Galatasaray - Monday December 14 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;ADIN;BALTA;KAYA;SARIOGLU;CHEDJOU;INAN;PODOLSKI;SNEIJDER;OZTEKIN;YILMAZ
Gaziantepspor vs. Rizespor - Saturday December 19 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;MARCAL;AROKOYO;SUME;YARDIMCI;LARSSON;SEN;DURAK;CINAR;DEMIR;CHIBUIKE
Gaziantepspor vs. Rizespor - Saturday December 19 - 2015,Rizespor,hard,4-4-2,ITANDJE;DURUER;OBOABONA;VIERA;OVACIKLI;OZEK;ALTINAY;YALCIN;KAYA;KWEUKE;KADAH
Konyaspor vs. Bursaspor - Saturday December 19 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;BEHICH;AZIZ;SIVOK;ADVINCULA;CINAZ;YILMAZ;STOCH;JOSUE;DZSUDZSAK;NECID
Konyaspor vs. Bursaspor - Saturday December 19 - 2015,Konyaspor,hard,4-4-2,KIRINTILI;USLU;VUKOVIC;AY;SAHINER;MARC KIBONG MBAMBA;CAMDALI;INCEMAN;TRAORE;RANGELOV;BAJIC
Mersin Idmanyurdu vs. Kasimpasa - Saturday December 19 - 2015,Kasimpasa,hard,4-2-3-1,KOSE;BOZHIKOV;TITI;OMERUO;SARI;DONK;CASTRO;BUYUK;SCARIONE;TORUN;DERDIYOK
Mersin Idmanyurdu vs. Kasimpasa - Saturday December 19 - 2015,Mersin Idmanyurdu,hard,4-2-3-1,YILDIRIM;WEDERSON;MITROVIC;CETIN;VAROL;SADIKU;TAS;DELIBALTA;CEYLAN;NAKOULMA;WELLITON
Trabzonspor vs. Antalyaspor - Saturday December 19 - 2015,Antalyaspor,hard,5-3-2,FORNEZZI;AYTAC;CHICO;GOR;DIEGO ANGELO;SIMSEK;MAKOUN;GUILHERME;CELUSTKA;ETAME;ETO'O
Trabzonspor vs. Antalyaspor - Saturday December 19 - 2015,Trabzonspor,easy,4-2-3-1,KIVRAK;ERDOGAN;DEMIR;YUMLU;CAVANDA;KARA;MBIA;EKICI;HURMACI;ZENGIN;CARDOZO
Basaksehir vs. Eskisehirspor - Sunday December 20 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;UCAR;ROTMAN;TEKDEMIR;DOKA MADUREIRA;MARCIO MOSSORO;VISCA;BATDAL
Basaksehir vs. Eskisehirspor - Sunday December 20 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;KANAK;GUNGOR;AKAMINKO;TOKO;TOKOZ;COSKUN;BEKDEMIR;OZTURK;COREKCI;GURAL
Galatasaray vs. Akhisar Belediyespor - Sunday December 20 - 2015,Akhisar Belediyespor,hard,4-3-3,LUKAC;VURAL;OSMANPASA;KONUK;CEBE;N'GUEMO;YUCE;CUSTODIO;SAMI;RODALLEGA;AYIK
Galatasaray vs. Akhisar Belediyespor - Sunday December 20 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;ADIN;BALTA;KAYA;CAMDAL;CHEDJOU;KISA;OZTEKIN;SNEIJDER;PODOLSKI;BULUT
Genclerbirligi vs. Fenerbahce - Sunday December 20 - 2015,Fenerbahce,easy,4-2-3-1,DEMIREL;KALDIRIM;ALVES;KJAER;GONUL;SOUZA;TOPAL;NANI;DIEGO;MARKOVIC;FERNANDAO
Genclerbirligi vs. Fenerbahce - Sunday December 20 - 2015,Genclerbirligi,hard,4-4-2,HOPF;LATOVLEVICI;GORGULU;KULUSIC;CIFTCI;LANDEL;SKULASON;DIMITRIADIS;SPELMANN;EL KABIR;STANCU
Sivasspor vs. Kayserispor - Sunday December 20 - 2015,Kayserispor,hard,4-2-3-1,DEMIRCAN;BAYRAM;AKBAS;MABIALA;YAVRU;MIJAILOVIC;SOW;BISESWAR;LOPES;TURUC;DERLEY
Sivasspor vs. Kayserispor - Sunday December 20 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;KAS;BOYE;OZTURK;CICINHO;KONE;INCEDEMIR;SIMSEK;KURTULUS;ESER;ENERAMO
Osmanlispor Fk vs. Besiktas - Monday December 21 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;KOYBASI;GULUM;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;SAHAN;SOSA;QUARESMA;GOMEZ
Osmanlispor Fk vs. Besiktas - Monday December 21 - 2015,Osmanlispor Fk,hard,4-2-3-1,SAHIN;OZER;DEMIROK;CURUKSU;BAYIR;GUVEN;CAGIRAN;TISDELL;NDIAYE;UMAR;RUSESCU
Antalyaspor vs. Gaziantepspor - Saturday December 26 - 2015,Antalyaspor,hard,3-5-2,M'BOLHI;DIEGO ANGELO;CHICO;GOR;AYTAC;MAKOUN;BADUR;CELUSTKA;SIMSEK;ETO'O;GUILHERME
Antalyaspor vs. Gaziantepspor - Saturday December 26 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;MARCAL;SUME;VRANJES;YARDIMCI;LARSSON;ABUDA;DURAK;CINAR;DEMIR;CHIBUIKE
Kasimpasa vs. Trabzonspor - Saturday December 26 - 2015,Kasimpasa,hard,4-2-3-1,KOSE;VEIGNEAU;TITI;OMERUO;SARI;DURAK;CASTRO;BUYUK;SCARIONE;TORUN;DERDIYOK
Kasimpasa vs. Trabzonspor - Saturday December 26 - 2015,Trabzonspor,easy,4-1-4-1,KIVRAK;ERDOGAN;DEMIR;YUMLU;CAVANDA;YOKUSLU;ZENGIN;KARA;MBIA;HURMACI;EKICI
Rizespor vs. Basaksehir - Saturday December 26 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;UCAR;TEKDEMIR;BELOZOGLU;DOKA MADUREIRA;MARCIO MOSSORO;VISCA;BATDAL
Rizespor vs. Basaksehir - Saturday December 26 - 2015,Rizespor,hard,4-4-2,ITANDJE;ISMAIL;ERSOY;OBOABONA;ALTINAY;DURUER;YALCIN;KAYA;AKYUZ;TUSZYNSKI;KADAH
Akhisar Belediyespor vs. Osmanlispor Fk - Sunday December 27 - 2015,Akhisar Belediyespor,hard,4-3-3,LUKAC;VURAL;DOUGLAO;OSMANPASA;UNLU;CUSTODIO;YUCE;N'GUEMO;BRUNO MEZENGA;RODALLEGA;SAMI
Akhisar Belediyespor vs. Osmanlispor Fk - Sunday December 27 - 2015,Osmanlispor Fk,hard,4-2-3-1,SAHIN;OZER;CURUKSU;DEMIROK;BAYIR;SETO;GUVEN;KILICASLAN;NDIAYE;UMAR;RUSESCU
Besiktas vs. Konyaspor - Sunday December 27 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;KOYBASI;GULUM;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;QUARESMA;SOSA;TORE;GOMEZ
Besiktas vs. Konyaspor - Sunday December 27 - 2015,Konyaspor,hard,4-4-2,KIRINTILI;USLU;VUKOVIC;TURAN;SAHINER;MARC KIBONG MBAMBA;CAMDALI;INCEMAN;HOLMEN;RANGELOV;BAJIC
Bursaspor vs. Mersin Idmanyurdu - Sunday December 27 - 2015,Bursaspor,hard,4-4-2,GUNOK;BEHICH;AZIZ;SIVOK;HOSOGAI;TASDEMIR;FATY;JORQUERA;YILDIRIM;NECID;CUENCA
Bursaspor vs. Mersin Idmanyurdu - Sunday December 27 - 2015,Mersin Idmanyurdu,hard,4-4-2,YILDIRIM;DEMIRHAN;CETIN;SADIKU;VAROL;TITA;TAS;BALCI;PEDRIEL;WELLITON;TOZLU
Kayserispor vs. Galatasaray - Sunday December 27 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;ADIN;BALTA;KAYA;CAMDAL;CHEDJOU;INAN;OZTEKIN;RODRIGUEZ;PODOLSKI;BULUT
Kayserispor vs. Galatasaray - Sunday December 27 - 2015,Kayserispor,hard,4-2-3-1,DEMIRCAN;BAYRAM;AKBAS;MABIALA;YAVRU;MIJAILOVIC;OZCAL;BISESWAR;LOPES;TURUC;AIYEGBENI
Eskisehirspor vs. Genclerbirligi - Monday December 28 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;KANAK;PARLAK;GUNGOR;TOKO;TOKOZ;COREKCI;BEKDEMIR;OZTURK;GURAL;PINTO
Eskisehirspor vs. Genclerbirligi - Monday December 28 - 2015,Genclerbirligi,hard,4-2-3-1,HOPF;LATOVLEVICI;GORGULU;CALIK;OGUZ;SKULASON;SPELMANN;KOCER;KAHVECI;DJALMA;STANCU
Fenerbahce vs. Sivasspor - Monday December 28 - 2015,Fenerbahce,easy,4-2-3-1,DEMIREL;KALDIRIM;ALVES;KJAER;GONUL;TOPAL;SOUZA;SEN;DIEGO;MARKOVIC;VAN PERSIE
Fenerbahce vs. Sivasspor - Monday December 28 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;KAS;BOYE;OZTURK;CICINHO;INCEDEMIR;KONE;SIMSEK;CHAHECHOUHE;ESER;ENERAMO
Akhisar Belediyespor vs. Konyaspor - Saturday January 16 - 2016,Akhisar Belediyespor,hard,4-3-3,LUKAC;VURAL;DOUGLAO;OSMANPASA;CEBE;N'GUEMO;YUCE;CUSTODIO;SAMI;RODALLEGA;GRBIC
Akhisar Belediyespor vs. Konyaspor - Saturday January 16 - 2016,Konyaspor,hard,4-2-3-1,KIRINTILI;USLU;VUKOVIC;TURAN;SKUBIC;CAMDALI;MARC KIBONG MBAMBA;TRAORE;HOLMEN;SAHINER;RANGELOV
Galatasaray vs. Sivasspor - Saturday January 16 - 2016,Galatasaray,easy,4-2-3-1,MUSLERA;BALTA;CHEDJOU;DENAYER;SARIOGLU;DONK;INAN;ADIN;SNEIJDER;GUMUS;YILMAZ
Galatasaray vs. Sivasspor - Saturday January 16 - 2016,Sivasspor,hard,4-2-3-1,SETKUS;ERDAL;OUMARI;OZTURK;CEKEN;KONE;HUSSAIN;SIMSEK;CHAHECHOUHE;AKIN;KABZE
Kasimpasa vs. Gaziantepspor - Saturday January 16 - 2016,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;ARSLAN;SUME;VRANJES;YARDIMCI;LARSSON;ABUDA;SEN;CINAR;CAMARA;CHIBUIKE
Kasimpasa vs. Gaziantepspor - Saturday January 16 - 2016,Kasimpasa,hard,4-2-3-1,KOSE;VEIGNEAU;TITI;OMERUO;SARI;CASTRO;DURAK;DEL VALLE;SCARIONE;BUYUK;DERDIYOK
Kayserispor vs. Osmanlispor Fk - Saturday January 16 - 2016,Kayserispor,hard,4-2-3-1,DEMIRCAN;BAYRAM;AKBAS;MABIALA;YAVRU;SOW;OZCAL;BISESWAR;LOPES;TURUC;DERLEY
Kayserispor vs. Osmanlispor Fk - Saturday January 16 - 2016,Osmanlispor Fk,hard,4-2-3-1,SAHIN;PINTO;DEMIROK;PROCHAZKA;VRSAJEVIC;GUVEN;CAGIRAN;TORJE;NDIAYE;UMAR;RUSESCU
Antalyaspor vs. Basaksehir - Sunday January 17 - 2016,Antalyaspor,hard,4-3-3,FORNEZZI;RAMON;GOR;CHICO;AYTAC;BADUR;BEKMEZCI;MAKOUN;OZKAN;ETO'O;ETAME
Antalyaspor vs. Basaksehir - Sunday January 17 - 2016,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;UCAR;TEKDEMIR;BELOZOGLU;DOKA MADUREIRA;MARCIO MOSSORO;VISCA;BATDAL
Bursaspor vs. Trabzonspor - Sunday January 17 - 2016,Bursaspor,hard,4-4-2,GUNOK;BEHICH;AZIZ;SIVOK;OZGENC;STOCH;FATY;JORQUERA;DZSUDZSAK;NECID;YILDIRIM
Bursaspor vs. Trabzonspor - Sunday January 17 - 2016,Trabzonspor,easy,4-2-3-1,KIVRAK;NIZAM;DEMIR;MBIA;CAVANDA;YOKUSLU;KARA;ZENGIN;EKICI;MARIN;CARDOZO
Rizespor vs. Genclerbirligi - Sunday January 17 - 2016,Genclerbirligi,hard,4-2-3-1,HOPF;CIFTCI;CALIK;KULUSIC;OGUZ;SAHIN;LANDEL;STANCU;HLEB;DJALMA;EL KABIR
Rizespor vs. Genclerbirligi - Sunday January 17 - 2016,Rizespor,hard,4-4-2,ITANDJE;ISMAIL;OBOABONA;VIERA;OVACIKLI;AKYUZ;YALCIN;MAKIADI;KAYA;KWEUKE;KADAH
Eskisehirspor vs. Fenerbahce - Monday January 18 - 2016,Eskisehirspor,hard,4-2-3-1,BOFFIN;KARAER;COSKUN;GUNGOR;TOKO;COREKCI;OZTURK;BEKDEMIR;CAUSIC;KANAK;PINTO
Eskisehirspor vs. Fenerbahce - Monday January 18 - 2016,Fenerbahce,easy,4-3-3,DEMIREL;ERKIN;KADLEC;KJAER;GONUL;TOPAL;TUFAN;SOUZA;NANI;FERNANDAO;MARKOVIC
Konyaspor vs. Kayserispor - Saturday January 23 - 2016,Kayserispor,hard,4-2-3-1,DEMIRCAN;BAYRAM;AKBAS;MABIALA;YAVRU;SOW;OZCAL;BISESWAR;LOPES;TURUC;DERLEY
Konyaspor vs. Kayserispor - Saturday January 23 - 2016,Konyaspor,hard,4-4-2,KIRINTILI;USLU;VUKOVIC;TURAN;SKUBIC;MEHA;CAMDALI;HOLMEN;SAHINER;RANGELOV;TRAORE
Mersin Idmanyurdu vs. Akhisar Belediyespor - Saturday January 23 - 2016,Akhisar Belediyespor,hard,4-3-3,LUKAC;KELES;DOUGLAO;OSMANPASA;CEBE;CUSTODIO;YUCE;N'GUEMO;BRUNO MEZENGA;RODALLEGA;GRBIC
Mersin Idmanyurdu vs. Akhisar Belediyespor - Saturday January 23 - 2016,Mersin Idmanyurdu,hard,4-4-2,YILDIRIM;WEDERSON;MITROVIC;SIGIRCI;VAROL;NAKOULMA;BALCI;CEYLAN;PEDRIEL;TOZLU;TITA
Osmanlispor Fk vs. Galatasaray - Saturday January 23 - 2016,Galatasaray,easy,4-2-3-1,MUSLERA;BALTA;KAYA;DENAYER;SARIOGLU;DONK;INAN;ADIN;SNEIJDER;GUMUS;YILMAZ
Osmanlispor Fk vs. Galatasaray - Saturday January 23 - 2016,Osmanlispor Fk,hard,4-2-3-1,SAHIN;PINTO;CURUKSU;DEMIROK;BAYIR;LAWAL;CAGIRAN;UMAR;NDIAYE;TORJE;RUSESCU
Fenerbahce vs. Rizespor - Sunday January 24 - 2016,Fenerbahce,easy,4-2-3-1,DEMIREL;KALDIRIM;ALVES;KJAER;OZBAYRAKLI;TOPAL;SOUZA;SEN;TUFAN;MARKOVIC;FERNANDAO
Fenerbahce vs. Rizespor - Sunday January 24 - 2016,Rizespor,hard,4-4-2,ITANDJE;ISMAIL;ERSOY;OBOABONA;OVACIKLI;OZEK;ALTINAY;YALCIN;KAYA;KADAH;AKYUZ
Gaziantepspor vs. Bursaspor - Sunday January 24 - 2016,Bursaspor,hard,4-4-2,GUNOK;TASDEMIR;NOUNKEU;CINAZ;HOSOGAI;STOCH;FATY;JORQUERA;DZSUDZSAK;NECID;YILDIRIM
Gaziantepspor vs. Bursaspor - Sunday January 24 - 2016,Gaziantepspor,hard,4-4-2,SEVIM;MARCAL;SUME;VRANJES;YARDIMCI;LARSSON;SEN;ABUDA;CINAR;CAMARA;CHIBUIKE
Genclerbirligi vs. Antalyaspor - Sunday January 24 - 2016,Antalyaspor,hard,4-2-3-1,FORNEZZI;RAMON;AYTAC;CELUSTKA;INKOOM;BADUR;CHICO;OZKAN;ENGUENE;AKBABA;ETO'O
Genclerbirligi vs. Antalyaspor - Sunday January 24 - 2016,Genclerbirligi,hard,4-2-3-1,HOPF;CIFTCI;CALIK;KULUSIC;OGUZ;SAHIN;SKULASON;GURLER;HLEB;DJALMA;EL KABIR
Sivasspor vs. Eskisehirspor - Sunday January 24 - 2016,Eskisehirspor,hard,4-4-2,BOFFIN;KANAK;FIGUERAS;GUNGOR;TOKO;BEKDEMIR;OZTURK;KARAKAS;KULACH;MEYE;GURAL
Sivasspor vs. Eskisehirspor - Sunday January 24 - 2016,Sivasspor,hard,4-2-3-1,SETKUS;ERDAL;OUMARI;OZTURK;CICINHO;KONE;HUSSAIN;SIMSEK;CHAHECHOUHE;KABZE;TEXEIRA
Basaksehir vs. Kasimpasa - Monday January 25 - 2016,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;UCAR;TEKDEMIR;BELOZOGLU;DOKA MADUREIRA;MARCIO MOSSORO;VISCA;BATDAL
Basaksehir vs. Kasimpasa - Monday January 25 - 2016,Kasimpasa,hard,4-2-3-1,KOSE;VEIGNEAU;TITI;OMERUO;POPOV;DURAK;CASTRO;BUYUK;ARSLAN;TORUN;DERDIYOK
Antalyaspor vs. Fenerbahce - Friday February 5 - 2016,Antalyaspor,hard,4-2-3-1,FORNEZZI;RAMON;AYTAC;CELUSTKA;INKOOM;MAKOUN;YILDIRIM;OZKAN;DANILO;ETAME;ETO'O
Antalyaspor vs. Fenerbahce - Friday February 5 - 2016,Fenerbahce,easy,4-2-3-1,DEMIREL;ERKIN;KADLEC;ALVES;OZBAYRAKLI;TOPAL;SOUZA;NANI;TUFAN;MARKOVIC;FERNANDAO
Osmanlispor Fk vs. Sivasspor - Friday February 5 - 2016,Osmanlispor Fk,hard,4-2-3-1,SAHIN;PINTO;CURUKSU;DEMIROK;BAYIR;LAWAL;CAGIRAN;TORJE;NDIAYE;KILICASLAN;RUSESCU
Osmanlispor Fk vs. Sivasspor - Friday February 5 - 2016,Sivasspor,hard,4-2-3-1,SETKUS;ERDAL;BOYE;OZTURK;CICINHO;KOCAK;OUMARI;TANASE;HUSSAIN;CHAHECHOUHE;TEXEIRA
Bursaspor vs. Basaksehir - Saturday February 6 - 2016,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;UCAR;ROTMAN;BELOZOGLU;DOKA MADUREIRA;MARCIO MOSSORO;VISCA;BATDAL
