game,team,difficulty,formation,lineup
Fenerbahce vs. Antalyaspor - Sunday August 30 - 2015,Antalyaspor,hard,4-2-3-1,FORNEZZI;KVESIC;DIEGO ANGELO;CELUSTKA;KANDEMIR;BEKMEZCI;YILDIRIM;LAZAREVIC;AKBABA;BASSAN;ETO'O
Fenerbahce vs. Antalyaspor - Sunday August 30 - 2015,Fenerbahce,easy,4-4-2,DEMIREL;KALDIRIM;BA;KJAER;OZBAYRAKLI;DIEGO;SOUZA;TOPAL;NANI;FERNANDAO;VAN PERSIE
Sivasspor vs. Osmanlispor Fk - Sunday August 30 - 2015,Osmanlispor Fk,hard,4-2-3-1,SAHIN;BAYIR;CURUKSU;SORO;ASLANTAS;GUVEN;CAGIRAN;TORJE;NDIAYE;UMAR;DELIKTAS
Sivasspor vs. Osmanlispor Fk - Sunday August 30 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;KAS;BOYE;OZTURK;CICINHO;GULLE;KOCAK;CHAHECHOUHE;TAOUIL;ESER;KARADENIZ
Trabzonspor vs. Akhisar Belediyespor - Sunday August 30 - 2015,Akhisar Belediyespor,hard,4-4-2,LUKAC;TASDELEN;DOUGLAO;OSMANPASA;CEBE;KABZE;YUCE;CUSTODIO;VURAL;RODALLEGA;LUALUA
Trabzonspor vs. Akhisar Belediyespor - Sunday August 30 - 2015,Trabzonspor,easy,4-2-3-1,KIVRAK;CONSTANT;DEMIR;YUMLU;CAVANDA;MBIA;YOKUSLU;ZENGIN;HURMACI;ERDOGAN;N'DOYE
Akhisar Belediyespor vs. Gaziantepspor - Saturday September 12 - 2015,Akhisar Belediyespor,hard,4-4-2,LUKAC;TASDELEN;DOUGLAO;OSMANPASA;CEBE;KABZE;YUCE;CUSTODIO;VURAL;RODALLEGA;LUALUA
Akhisar Belediyespor vs. Gaziantepspor - Saturday September 12 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;MARCAL;SUME;VRANJES;YARDIMCI;CINAR;SEN;ABUDA;LARSSON;DEMIR;CHIBUIKE
Antalyaspor vs. Eskisehirspor - Saturday September 12 - 2015,Antalyaspor,hard,4-4-2,FORNEZZI;KVESIC;DIEGO ANGELO;CELUSTKA;KANDEMIR;LAZAREVIC;BEKMEZCI;YILDIRIM;BASSAN;ETO'O;GUILHERME
Antalyaspor vs. Eskisehirspor - Saturday September 12 - 2015,Eskisehirspor,hard,4-4-2,BOFFIN;KARAER;PARLAK;GUNGOR;TOKO;BAYRAMOGLU;LAWAL;CAUSIC;KANAK;GEKAS;GURAL
Bursaspor vs. Genclerbirligi - Saturday September 12 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;TASDEMIR;AZIZ;NOUNKEU;OZGENC;HOSOGAI;FATY;YILDIRIM;JORQUERA;DZSUDZSAK;DE SUTTER
Bursaspor vs. Genclerbirligi - Saturday September 12 - 2015,Genclerbirligi,hard,4-2-3-1,HOPF;CIFTCI;ATTA;CALIK;OGUZ;SKULASON;KAYA;KOCER;KAHVECI;DJALMA;EL KABIR
Galatasaray vs. Mersin Idmanyurdu - Saturday September 12 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;ADIN;BALTA;KAYA;SARIOGLU;RODRIGUEZ;INAN;PODOLSKI;SNEIJDER;OZTEKIN;YILMAZ
Galatasaray vs. Mersin Idmanyurdu - Saturday September 12 - 2015,Mersin Idmanyurdu,hard,4-3-3,YILDIRIM;WEDERSON;MITROVIC;CETIN;BALCI;CEYLAN;SADIKU;KHALILI;NAKOULMA;WELLITON;PEDRIEL
Besiktas vs. Basaksehir - Sunday September 13 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;OZTORUN;AYHAN;IRTEGUN;UCAR;AGCAY;TEKDEMIR;DOKA MADUREIRA;MARCIO MOSSORO;VISCA;BATDAL
Besiktas vs. Basaksehir - Sunday September 13 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;TOSIC;GULUM;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;SAHAN;SOSA;TORE;GOMEZ
Kasimpasa vs. Fenerbahce - Sunday September 13 - 2015,Fenerbahce,easy,4-3-3,DEMIREL;ERKIN;KADLEC;TOPAL;OZBAYRAKLI;TUFAN;SOUZA;MEIRELES;NANI;FERNANDAO;VAN PERSIE
Kasimpasa vs. Fenerbahce - Sunday September 13 - 2015,Kasimpasa,hard,4-2-3-1,ISAKSSON;VEIGNEAU;TITI;OMERUO;SARI;DONK;CASTRO;DEL VALLE;ARSLAN;SCARIONE;BUYUK
Osmanlispor Fk vs. Konyaspor - Sunday September 13 - 2015,Konyaspor,hard,4-2-3-1,KIRINTILI;USLU;VUKOVIC;JUNIOR;SAHINER;CAMDALI;INCEMAN;MEHA;HOLMEN;SISSOKO;RANGELOV
Osmanlispor Fk vs. Konyaspor - Sunday September 13 - 2015,Osmanlispor Fk,hard,4-2-3-1,SAHIN;BAYIR;CURUKSU;SORO;ASLANTAS;GUVEN;CAGIRAN;KILICASLAN;NDIAYE;TORJE;WEBO
Rizespor vs. Sivasspor - Sunday September 13 - 2015,Rizespor,hard,4-3-3,ITANDJE;ALBAYRAK;OBOABONA;VIERA;OVACIKLI;SYLVESTRE;YALCIN;MAKIADI;KADAH;KWEUKE;OZEK
Rizespor vs. Sivasspor - Sunday September 13 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;ERDAL;KURT;OZTURK;BOYE;KONE;KOCAK;KAS;CHAHECHOUHE;ABALO;BARRALES
Kayserispor vs. Trabzonspor - Monday September 14 - 2015,Kayserispor,hard,4-2-3-1,ARIKAN;AKBAS;MABIALA;SIMIC;YAVRU;SOW;DAGASAN;BISESWAR;OZCAL;BAYRAM;DERLEY
Kayserispor vs. Trabzonspor - Monday September 14 - 2015,Trabzonspor,easy,4-2-3-1,KIVRAK;ULUDAG;YUMLU;DOUGLAS;CAVANDA;MBIA;CONSTANT;ZENGIN;EKICI;ERDOGAN;N'DOYE
Basaksehir vs. Akhisar Belediyespor - Friday September 18 - 2015,Akhisar Belediyespor,hard,4-4-2,LUKAC;TASDELEN;KONUK;OSMANPASA;CEBE;VURAL;YUCE;CUSTODIO;AYIK;RODALLEGA;KABZE
Basaksehir vs. Akhisar Belediyespor - Friday September 18 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;ALKILIC;BADJI;TEKDEMIR;SAHIN;MARCIO MOSSORO;VISCA;BATDAL
Mersin Idmanyurdu vs. Osmanlispor Fk - Friday September 18 - 2015,Mersin Idmanyurdu,hard,4-3-3,YILDIRIM;KAYA;MITROVIC;CETIN;BALCI;CEYLAN;SADIKU;KHALILI;NAKOULMA;FUTACS;PEDRIEL
Mersin Idmanyurdu vs. Osmanlispor Fk - Friday September 18 - 2015,Osmanlispor Fk,hard,4-2-3-1,SAHIN;BAYIR;DEMIROK;SZUKALA;ASLANTAS;GUVEN;CAGIRAN;KILICASLAN;NDIAYE;TORJE;WEBO
Eskisehirspor vs. Kasimpasa - Saturday September 19 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;KARAER;COSKUN;PARLAK;TOKO;LAWAL;CAUSIC;BAYRAMOGLU;DEFEDERICO;KANAK;GEKAS
Eskisehirspor vs. Kasimpasa - Saturday September 19 - 2015,Kasimpasa,hard,4-2-3-1,ISAKSSON;VEIGNEAU;TITI;OMERUO;KARTAL;DONK;CASTRO;DEL VALLE;SCARIONE;TORUN;BUYUK
Rizespor vs. Antalyaspor - Saturday September 19 - 2015,Antalyaspor,hard,4-4-2,FORNEZZI;KVESIC;DIEGO ANGELO;CELUSTKA;KANDEMIR;OZKAN;BEKMEZCI;YILDIRIM;BASSAN;ETO'O;GUILHERME
Rizespor vs. Antalyaspor - Saturday September 19 - 2015,Rizespor,hard,4-4-2,ITANDJE;ALBAYRAK;OBOABONA;VIERA;ALTINAY;ISMAIL;YALCIN;MAKIADI;OZEK;KWEUKE;KADAH
Sivasspor vs. Konyaspor - Saturday September 19 - 2015,Konyaspor,hard,4-2-3-1,KIRINTILI;USLU;VUKOVIC;TURAN;SAHINER;CAMDALI;BORA;MEHA;HOLMEN;SISSOKO;RANGELOV
